Player,Age,Tm,Pos,GP,G,A,PTS,PlusMin,PIM,PS,G-EV,G-PP,G-SH,G-GW,A-EV,A-PP,A-SH,SOG,ShotPerc,TOI,ATOI,BLK,HIT,FOW,FOL,FOPerc,UID,season
Matt Calvert,31,COL,LW,18,0,3,3,-2,6,-0.2,0,0,0,0,3,0,0,26,0.0,249,13:49,8,12,0,1,0.0,calvema01,20-21
Kyle Capobianco,23,ARI,D,2,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,3,0.0,29,14:28,2,1,0,0,,capobky01,20-21
Brandon Carlo,24,BOS,D,27,3,1,4,1,12,1.4,3,0,0,1,1,0,0,43,7.0,505,18:43,35,38,0,0,,carlobr01,20-21
John Carlson,31,WSH,D,52,10,34,44,-5,12,5.9,7,3,0,1,22,12,0,128,7.8,1237,23:47,69,52,0,0,,carlsjo01,20-21
Gabriel Carlsson,24,CBJ,D,14,1,3,4,-6,4,0.3,1,0,0,0,2,1,0,14,7.1,207,14:47,12,11,0,0,,carlsga01,20-21
Lucas Carlsson,23,CHI,D,12,0,1,1,1,2,0.3,0,0,0,0,1,0,0,10,0.0,157,13:04,3,6,0,0,,carlslu01,20-21
Ryan Carpenter,30,CHI,C,40,4,1,5,-10,19,-0.3,2,1,1,0,1,0,0,51,7.8,508,12:41,17,78,61,65,48.4,carpery01,20-21
Daniel Carr,29,WSH,LW,6,0,1,1,-2,2,-0.1,0,0,0,0,1,0,0,5,0.0,61,10:14,4,10,0,0,,carrda01,20-21
Connor Carrick,26,NJD,D,11,1,1,2,-2,5,0.3,1,0,0,0,1,0,0,8,12.5,205,18:40,24,11,0,0,,carrico01,20-21
Sam Carrick,28,ANA,C,13,2,4,6,4,28,0.8,2,0,0,0,3,1,0,23,8.7,168,12:55,3,29,33,30,52.4,carrisa01,20-21
Alexandre Carrier,24,NSH,D,19,1,2,3,3,8,1.0,1,0,0,0,2,0,0,31,3.2,381,20:03,31,22,0,0,,carrial01,20-21
William Carrier,26,VEG,LW,52,6,9,15,0,16,1.2,6,0,0,0,9,0,0,65,9.2,541,10:25,13,131,3,5,37.5,carriwi01,20-21
Jeff Carter,36,TOT,C,54,17,13,30,3,22,3.6,15,2,0,1,10,3,0,154,11.0,895,16:34,30,41,153,161,48.7,carteje01,20-21
Jackson Cates,23,PHI,C,4,0,1,1,-3,0,-0.1,0,0,0,0,1,0,0,7,0.0,42,10:36,0,0,13,11,54.2,catesja01,20-21
Cole Caufield,20,MTL,RW,10,4,1,5,-1,2,0.7,4,0,0,2,1,0,0,30,13.3,140,13:58,0,3,0,0,,caufico01,20-21
Cody Ceci,27,PIT,D,53,4,13,17,18,10,3.8,4,0,0,1,13,0,0,58,6.9,981,18:31,70,74,0,0,,cecico01,20-21
Erik Černák,23,TBL,D,46,5,13,18,8,38,3.9,5,0,0,0,13,0,0,85,5.9,910,19:47,46,98,0,0,,cernaer01,20-21
Thomas Chabot,24,OTT,D,49,6,25,31,-15,36,3.8,5,1,0,1,19,6,0,120,5.0,1288,26:17,72,68,0,0,,chaboth01,20-21
Michael Chaput,28,ARI,C,13,0,0,0,-7,10,-0.5,0,0,0,0,0,0,0,3,0.0,122,9:24,8,19,35,34,50.7,chapumi01,20-21
Zdeno Chára,43,WSH,D,55,2,8,10,5,44,2.2,2,0,0,0,8,0,0,67,3.0,1008,18:19,67,88,0,0,,charazd01,20-21
Jalen Chatfield,24,VAN,D,18,0,1,1,-11,12,-0.5,0,0,0,0,1,0,0,14,0.0,242,13:26,10,11,0,0,,chatfja01,20-21
Ivan Chekhovich,22,SJS,LW,4,0,1,1,-3,0,-0.1,0,0,0,0,1,0,0,5,0.0,42,10:29,2,0,0,0,,chekhiv01,20-21
Ben Chiarot,29,MTL,D,41,1,6,7,-16,50,0.3,0,1,0,0,6,0,0,81,1.2,893,21:47,60,77,0,0,,chiarbe01,20-21
Alex Chiasson,30,EDM,RW,45,9,7,16,-10,33,1.2,4,5,0,1,5,2,0,65,13.8,562,12:29,7,40,2,3,40.0,chiasal01,20-21
Filip Chlapík,23,OTT,C,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,7,7:11,0,1,0,0,,chlapfi01,20-21
Sasha Chmelevski,21,SJS,C,5,0,2,2,-2,2,0.1,0,0,0,0,2,0,0,8,0.0,49,9:45,1,7,4,8,33.3,chmelal01,20-21
Dennis Cholowski,22,DET,D,16,1,2,3,-1,4,0.7,1,0,0,0,2,0,0,10,10.0,254,15:54,18,5,0,0,,cholode01,20-21
Jakob Chychrun,22,ARI,D,56,18,23,41,-6,42,7.4,13,5,0,3,14,9,0,176,10.2,1310,23:23,89,59,0,0,,chychja01,20-21
Filip Chytil,21,NYR,C,42,8,14,22,9,10,2.5,8,0,0,0,14,0,0,76,10.5,555,13:14,19,15,130,174,42.8,chytifi01,20-21
Anthony Cirelli,23,TBL,C,50,9,13,22,0,10,1.8,6,1,2,3,10,3,0,75,12.0,887,17:45,32,64,227,235,49.1,cirelan01,20-21
Casey Cizikas,29,NYI,C,56,7,7,14,-2,27,1.0,7,0,0,3,7,0,0,72,9.7,775,13:50,25,112,340,299,53.2,cizikca01,20-21
Fredrik Claesson,28,TOT,D,6,0,0,0,0,12,0.1,0,0,0,0,0,0,0,4,0.0,74,12:23,7,10,0,0,,claesfr01,20-21
Kale Clague,22,LAK,D,18,0,6,6,-6,4,0.6,0,0,0,0,6,0,0,24,0.0,310,17:12,13,9,0,0,,claguka01,20-21
Kyle Clifford,30,STL,LW,50,4,3,7,-5,30,0.0,4,0,0,0,2,0,1,65,6.2,497,9:56,17,69,6,6,50.0,cliffky01,20-21
Connor Clifton,25,BOS,D,44,1,6,7,10,38,2.6,1,0,0,0,5,0,1,48,2.1,802,18:13,52,108,0,0,,cliftco01,20-21
Cal Clutterbuck,33,NYI,RW,50,4,7,11,-5,10,0.4,3,0,1,1,7,0,0,50,8.0,672,13:26,23,191,0,1,0.0,cluttca01,20-21
Braydon Coburn,35,TOT,D,19,0,2,2,-3,14,0.2,0,0,0,0,1,0,1,18,0.0,305,16:03,20,27,0,0,,coburbr01,20-21
Dylan Coghlan,22,VEG,D,29,3,3,6,-3,2,1.0,3,0,0,0,3,0,0,31,9.7,391,13:29,16,29,0,1,0.0,coghldy01,20-21
Andrew Cogliano,33,DAL,LW,54,5,6,11,-8,24,0.1,4,0,1,0,6,0,0,88,5.7,752,13:56,24,79,4,11,26.7,coglian01,20-21
Ian Cole,31,TOT,D,54,1,7,8,21,32,3.1,1,0,0,1,7,0,0,30,3.3,857,15:53,94,38,0,0,,coleia01,20-21
Blake Coleman,29,TBL,C,55,14,17,31,15,37,3.9,12,1,1,3,17,0,0,122,11.5,851,15:28,20,109,2,7,22.2,colembl01,20-21
Ross Colton,24,TBL,C,30,9,3,12,3,16,1.8,9,0,0,4,3,0,0,46,19.6,317,10:34,6,36,101,107,48.6,coltoro01,20-21
Blake Comeau,34,DAL,RW,51,4,10,14,-13,37,0.1,4,0,0,0,8,0,2,76,5.3,803,15:44,18,106,53,57,48.2,comeabl01,20-21
J.T. Compher,25,COL,LW,48,10,8,18,10,19,2.0,9,1,0,2,7,1,0,47,21.3,682,14:13,38,32,216,255,45.9,comphj.01,20-21
Max Comtois,22,ANA,LW,55,16,17,33,3,40,4.0,15,1,0,3,14,3,0,94,17.0,851,15:28,34,93,12,22,35.3,comtoma01,20-21
Kevin Connauton,30,FLA,D,7,0,1,1,4,7,0.5,0,0,0,0,1,0,0,5,0.0,100,14:13,3,12,0,0,,connake01,20-21
Brett Connolly,28,TOT,RW,31,3,3,6,3,4,0.4,3,0,0,0,2,1,0,26,11.5,376,12:09,8,44,4,9,30.8,connobr01,20-21
Kyle Connor,24,WPG,LW,56,26,24,50,-4,12,5.9,16,10,0,5,21,3,0,166,15.7,1049,18:44,18,18,6,4,60.0,connoky01,20-21
Andrew Copp,26,WPG,C,55,15,24,39,2,20,4.0,9,6,0,1,17,6,1,115,13.0,1004,18:15,41,67,123,109,53.0,coppan01,20-21
Nick Cousins,27,NSH,C,52,5,13,18,4,41,1.5,5,0,0,1,9,4,0,60,8.3,695,13:22,16,48,19,17,52.8,cousini01,20-21
Logan Couture,31,SJS,C,53,17,14,31,-10,25,3.0,14,2,1,2,10,4,0,114,14.9,1021,19:16,39,58,444,456,49.3,coutulo01,20-21
Sean Couturier,28,PHI,C,45,18,23,41,-4,8,4.3,15,3,0,4,16,7,0,120,15.0,870,19:20,22,34,427,323,56.9,coutuse01,20-21
Charlie Coyle,28,BOS,C,51,6,10,16,-4,20,0.9,5,0,1,2,8,2,0,79,7.6,831,16:17,24,57,245,262,48.3,coylech01,20-21
Dylan Cozens,19,BUF,C,41,4,9,13,-15,16,0.4,3,1,0,0,9,0,0,62,6.5,589,14:21,11,30,96,106,47.5,cozendy01,20-21
Joseph Cramarossa,28,MIN,C,4,0,1,1,-1,15,0.0,0,0,0,0,1,0,0,3,0.0,43,10:46,1,10,0,0,,cramajo01,20-21
Sidney Crosby,33,PIT,C,55,24,38,62,8,26,7.0,18,5,1,5,21,17,0,159,15.1,1122,20:24,28,44,676,586,53.6,crosbsi01,20-21
Lawson Crouse,23,ARI,LW,51,4,9,13,-10,46,0.3,4,0,0,0,7,2,0,70,5.7,729,14:18,30,155,20,23,46.5,crousla01,20-21
Josh Currie,28,PIT,RW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,7,7:24,0,0,2,3,40.0,currijo01,20-21
Austin Czarnik,28,NYI,C,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,50,12:30,2,2,7,5,58.3,czarnau01,20-21
Kevin Czuczman,30,PIT,D,2,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,2,0.0,23,11:39,2,1,0,0,,czuczke01,20-21
Kirby Dach,20,CHI,C,18,2,8,10,-3,4,0.6,1,1,0,0,8,0,0,26,7.7,334,18:34,12,7,77,114,40.3,dachki01,20-21
Evgenii Dadonov,31,OTT,RW,55,13,7,20,-9,4,1.7,13,0,0,3,6,1,0,89,14.6,857,15:35,26,38,0,1,0.0,dadonev01,20-21
Rasmus Dahlin,20,BUF,D,56,5,18,23,-36,26,2.0,4,1,0,0,8,10,0,115,4.3,1210,21:36,45,80,0,0,,dahlira01,20-21
Michael Dal Colle,24,NYI,LW,26,1,3,4,1,4,0.1,1,0,0,0,3,0,0,19,5.3,310,11:54,9,32,1,3,25.0,dalcomi01,20-21
Zac Dalpe,31,CBJ,RW,12,2,1,3,-2,0,0.2,2,0,0,0,1,0,0,22,9.1,127,10:37,8,11,18,22,45.0,dalpeza01,20-21
Phillip Danault,27,MTL,C,53,5,19,24,9,24,1.9,5,0,0,0,18,0,1,73,6.8,894,16:52,28,76,476,431,52.5,danauph01,20-21
Brandon Davidson,29,BUF,D,6,0,0,0,-4,4,-0.2,0,0,0,0,0,0,0,7,0.0,92,15:20,5,14,0,0,,davidbr01,20-21
Jeremy Davies,24,NSH,D,16,0,1,1,3,8,0.6,0,0,0,0,1,0,0,19,0.0,241,15:02,7,11,0,0,,davieje01,20-21
Calvin de Haan,29,CHI,D,44,1,9,10,-16,14,0.6,1,0,0,1,8,1,0,58,1.7,819,18:37,85,99,0,0,,dehaaca01,20-21
Jacob de La Rose,25,STL,LW,13,0,1,1,-2,7,-0.2,0,0,0,0,1,0,0,13,0.0,133,10:12,8,22,34,39,46.6,delarja01,20-21
Chase De Leo,25,ANA,C,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,1,0.0,13,13:26,0,1,4,8,33.3,deleoch01,20-21
Jean-Sébastien Dea,26,BUF,C,1,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,2,0.0,6,5:33,0,0,0,0,,deaje01,20-21
Tony DeAngelo,25,NYR,D,6,0,1,1,-6,4,-0.3,0,0,0,0,0,1,0,13,0.0,111,18:29,6,3,0,0,,deangan01,20-21
Alex DeBrincat,23,CHI,RW,52,32,24,56,3,12,7.5,22,9,1,7,15,9,0,155,20.6,1068,20:32,22,70,16,24,40.0,debrial01,20-21
Jake DeBrusk,24,BOS,LW,41,5,9,14,1,6,1.1,3,2,0,1,8,1,0,92,5.4,611,14:54,20,33,6,9,40.0,debruja01,20-21
Danny DeKeyser,30,DET,D,47,4,8,12,3,18,3.0,4,0,0,0,8,0,0,43,9.3,851,18:06,81,44,0,0,,dekeyda01,20-21
Michael Del Zotto,30,CBJ,D,53,4,9,13,5,8,3.3,4,0,0,0,9,0,0,77,5.2,948,17:53,54,125,0,0,,delzomi01,20-21
Ty Dellandrea,20,DAL,C,26,3,2,5,0,23,0.3,1,2,0,0,1,1,0,31,9.7,325,12:29,10,47,45,55,45.0,dellaty01,20-21
Dylan DeMelo,27,WPG,D,52,0,9,9,10,20,2.6,0,0,0,0,8,0,1,44,0.0,882,16:58,58,76,0,0,,demeldy01,20-21
Jason Demers,32,ARI,D,41,0,4,4,-4,26,1.0,0,0,0,0,4,0,0,44,0.0,707,17:14,30,69,0,0,,demerja01,20-21
Grigori Denisenko,20,FLA,LW,7,0,4,4,1,2,0.3,0,0,0,0,4,0,0,6,0.0,84,11:56,2,15,1,1,50.0,denisgr01,20-21
Travis Dermott,24,TOR,D,51,2,4,6,-1,19,1.0,2,0,0,0,4,0,0,36,5.6,674,13:13,35,44,0,0,,dermotr01,20-21
Nicolas Deslauriers,29,ANA,LW,49,5,5,10,-7,53,0.5,5,0,0,2,5,0,0,65,7.7,555,11:19,20,136,1,3,25.0,deslani01,20-21
Phillip Di Giuseppe,27,NYR,LW,31,1,7,8,2,13,0.4,1,0,0,0,7,0,0,44,2.3,344,11:06,16,78,3,4,42.9,digiuph01,20-21
Jason Dickinson,25,DAL,C,51,7,8,15,-2,18,0.9,7,0,0,2,7,1,0,66,10.6,826,16:12,49,78,137,159,46.3,dickija01,20-21
Brenden Dillon,30,WSH,D,56,2,17,19,15,49,3.9,2,0,0,0,15,1,1,51,3.9,1061,18:57,61,143,0,0,,dillobr01,20-21
Christian Djoos,26,DET,D,36,2,9,11,-13,14,1.1,1,1,0,0,6,3,0,39,5.1,543,15:05,26,10,0,0,,djoosch01,20-21
Noah Dobson,21,NYI,D,46,3,11,14,1,8,2.9,3,0,0,0,6,5,0,69,4.3,754,16:24,59,40,0,0,,dobsono01,20-21
Max Domi,25,CBJ,LW,54,9,15,24,-18,75,1.4,7,2,0,2,14,1,0,99,9.1,822,15:13,10,15,192,204,48.5,domima01,20-21
Ryan Donato,24,SJS,C,50,6,14,20,-10,10,1.3,4,2,0,1,10,4,0,104,5.8,631,12:37,21,50,27,36,42.9,donatry01,20-21
Joonas Donskoi,28,COL,RW,51,17,14,31,14,10,4.1,12,5,0,3,11,3,0,86,19.8,742,14:32,25,14,13,18,41.9,donskjo01,20-21
Drew Doughty,31,LAK,D,56,8,26,34,-14,26,5.5,2,6,0,0,13,12,1,101,7.9,1477,26:23,83,91,0,0,,doughdr01,20-21
Nic Dowd,30,WSH,C,56,11,4,15,4,31,1.5,11,0,0,3,4,0,0,68,16.2,805,14:22,40,109,432,336,56.3,dowdni01,20-21
Justin Dowling,30,DAL,C,27,1,4,5,-4,6,0.0,1,0,0,0,3,1,0,27,3.7,299,11:04,3,17,43,43,50.0,dowliju01,20-21
Leon Draisaitl,25,EDM,C,56,31,53,84,29,22,10.9,15,15,1,8,36,17,0,168,18.5,1243,22:11,12,37,574,457,55.7,draisle01,20-21
