Pos,GoalsCreated,GPerGame,APerGame,PtsPerGame,GoalsCreatedPerGame,SOGPerGameAdjusted,GAdjusted,AAdjusted,PtsAdjusted,GCAdjusted,TotGF,TotPPGF,TotGA,TotPPGA,PlusMin,XGF,XGA,XPlusMin,OPS,DPS,TotPS,ShootoutMiss,UID,season
C,10,0.11,0.23,0.34,0.12,1.17,9,19,28,10,46,0,44,14,17,35.9,30.3,5.6,0.6,1.8,2.4,,coppan01,17-18
C,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0.1,0.9,-0.8,0.0,0.0,0.0,,crescan01,17-18
LW,11,0.16,0.23,0.4,0.15,1.53,12,17,29,11,56,9,57,21,11,39.2,38.5,0.8,0.9,1.5,2.4,,laddan01,17-18
D,7,0.09,0.23,0.32,0.11,1.24,6,15,21,7,53,1,61,16,8,43.6,44.3,-0.7,1.1,3.2,4.3,,macdoan01,17-18
LW,0,0.0,0.0,0.0,0.0,0.7,0,0,0,0,0,0,3,0,-3,2.7,3.4,-0.7,-0.3,0.0,-0.3,,mangian01,17-18
C,8,0.2,0.2,0.39,0.16,1.84,10,10,20,8,39,14,37,4,-8,28.4,25.8,2.6,0.9,0.7,1.6,,shawan01,17-18
LW,3,0.07,0.13,0.2,0.07,1.04,3,6,9,3,11,0,17,0,-6,12.1,16.4,-4.3,0.0,0.3,0.3,,andrean01,17-18
D,4,0.04,0.12,0.16,0.05,1.15,3,10,13,4,62,1,98,28,-9,56.2,58.7,-2.4,-0.4,3.1,2.7,,greenan01,17-18
D,1,0.0,0.29,0.29,0.08,0.86,0,2,2,1,2,0,3,0,-1,2.6,5.1,-2.5,0.1,0.2,0.2,,welinan01,17-18
LW,15,0.3,0.21,0.51,0.22,1.86,22,15,37,16,62,11,59,10,2,45.3,45.1,0.2,2.9,1.0,3.9,2.0,beauvan01,17-18
D,1,0.03,0.06,0.09,0.03,0.78,1,2,3,1,15,1,14,0,-1,16.2,17.5,-1.3,-0.1,0.7,0.6,,bitetan01,17-18
C,4,0.28,0.33,0.61,0.24,1.44,5,6,11,4,15,0,6,2,11,9.3,8.0,1.4,1.0,0.6,1.6,,cirelan01,17-18
LW,9,0.2,0.21,0.41,0.16,1.73,11,12,23,9,36,10,31,0,-5,27.5,27.4,0.1,1.4,0.8,2.2,,duclaan01,17-18
RW,19,0.3,0.3,0.6,0.24,2.38,25,24,49,20,71,20,54,1,-1,49.2,48.2,1.0,3.5,1.7,5.2,1.0,manthan01,17-18
RW,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.0,0.0,0.0,,pelusan01,17-18
LW,6,0.07,0.16,0.23,0.08,1.16,5,12,17,6,28,0,32,5,1,31.2,26.8,4.4,-0.2,1.2,0.9,,roussan01,17-18
C,6,0.13,0.13,0.25,0.1,1.42,8,8,16,7,33,6,38,5,-5,24.6,29.6,-4.9,0.0,0.8,0.8,1.0,vermean01,17-18
LW,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.0,0.0,0.0,0.0,,blidhan01,17-18
D,1,0.0,0.08,0.08,0.02,0.46,0,4,4,1,23,0,27,8,4,17.1,24.5,-7.4,-0.4,1.6,1.3,,lindhan01,17-18
LW,5,0.12,0.12,0.24,0.1,1.46,6,6,12,5,22,0,25,0,-4,26.3,27.1,-0.8,0.2,0.5,0.7,,slepyan01,17-18
D,6,0.05,0.18,0.23,0.07,1.64,4,14,18,6,91,0,89,26,29,67.5,61.0,6.5,0.1,4.6,4.7,,stralan01,17-18
C,34,0.43,0.7,1.12,0.42,2.44,36,58,94,35,116,34,75,12,21,54.4,50.9,3.5,7.9,3.1,11.0,2.0,kopitan01,17-18
C,14,0.28,0.15,0.43,0.19,1.81,21,11,32,14,54,19,66,14,-17,35.2,42.6,-7.4,1.9,0.7,2.6,1.0,anisiar01,17-18
LW,30,0.33,0.68,1.01,0.37,2.81,28,56,84,31,103,29,51,1,23,67.1,59.6,7.5,6.8,2.6,9.4,4.0,panarar01,17-18
LW,9,0.18,0.14,0.32,0.14,2.48,12,9,21,9,38,12,54,17,-11,38.6,34.3,4.3,0.4,0.9,1.4,2.0,lehkoar01,17-18
D,1,0.0,0.4,0.4,0.11,0.6,0,2,2,1,5,0,1,0,4,2.5,2.1,0.4,0.1,0.5,0.6,,sautnas01,17-18
C,1,0.0,0.4,0.4,0.11,0.7,0,4,4,1,4,1,4,0,-1,4.2,3.0,1.2,0.1,0.1,0.2,,czarnau01,17-18
LW,9,0.18,0.07,0.25,0.12,1.26,14,5,19,9,31,0,51,22,2,22.9,30.0,-7.1,0.8,1.0,1.8,,watsoau01,17-18
C,27,0.55,0.47,1.02,0.43,3.02,35,29,64,27,83,16,43,0,25,52.2,43.5,8.7,7.0,2.1,9.0,3.0,matthau01,17-18
RW,6,0.15,0.15,0.3,0.12,1.21,7,7,14,6,27,2,27,2,1,18.4,15.8,2.6,0.7,0.7,1.4,,goodrba01,17-18
RW,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,2,0,-2,1.7,2.2,-0.4,-0.2,0.0,-0.2,,bennebe01,17-18
D,4,0.04,0.21,0.25,0.08,1.0,2,12,14,4,40,0,34,9,15,30.4,29.4,1.1,0.6,2.8,3.4,,chiarbe01,17-18
D,0,0.0,0.02,0.02,0.01,0.63,0,1,1,0,11,0,42,10,-21,17.8,24.5,-6.6,-0.7,-0.3,-0.9,,harpube01,17-18
D,2,0.0,0.1,0.1,0.03,1.69,0,6,6,2,37,6,51,11,-9,33.9,39.1,-5.2,-0.8,1.9,1.1,1.0,huttobe01,17-18
D,3,0.04,0.11,0.14,0.05,1.3,2,6,8,3,32,0,42,17,7,29.7,25.3,4.4,-0.1,2.7,2.6,,lovejbe01,17-18
C,0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,1,0,-1,0.3,0.5,-0.1,-0.1,0.0,-0.1,,sextobe01,17-18
LW,9,0.18,0.08,0.26,0.12,1.12,13,6,19,9,31,2,53,16,-8,25.4,32.7,-7.4,0.5,1.2,1.7,1.0,poulibe01,17-18
C,11,0.16,0.15,0.32,0.13,1.85,13,12,25,10,44,0,56,19,7,36.0,31.6,4.4,0.8,1.6,2.5,,colembl01,17-18
RW,13,0.16,0.27,0.43,0.16,1.56,13,21,34,13,46,0,59,17,5,31.0,40.9,-9.9,1.4,1.7,3.1,,comeabl01,17-18
D,1,0.25,0.0,0.25,0.14,1.25,1,0,1,1,1,0,2,0,-1,2.2,2.5,-0.3,0.1,0.1,0.2,,hillmbl01,17-18
LW,0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0,0,0,0.7,0.3,0.4,-0.1,0.0,0.0,,pietibl01,17-18
RW,31,0.28,0.84,1.12,0.38,3.04,24,69,93,32,116,46,67,10,13,58.9,48.3,10.6,7.1,2.1,9.2,3.0,wheelbl01,17-18
C,18,0.34,0.34,0.69,0.28,2.47,23,22,45,19,75,23,64,11,-1,41.0,40.1,0.9,3.4,1.5,4.9,1.0,horvabo01,17-18
LW,12,0.18,0.35,0.53,0.19,1.81,11,22,33,12,50,10,53,0,-12,35.8,33.6,2.1,1.7,0.7,2.4,3.0,ryanbo01,17-18
C,3,0.04,0.29,0.32,0.1,0.82,1,8,9,3,15,1,9,1,6,10.1,13.1,-2.9,0.2,0.6,0.8,,nievecr01,17-18
C,12,0.17,0.25,0.43,0.16,2.49,13,19,32,12,51,6,57,13,1,43.5,45.4,-1.9,1.2,1.4,2.6,2.0,jennebo01,17-18
D,6,0.07,0.33,0.4,0.13,1.78,3,15,18,6,40,17,28,0,-5,24.1,23.5,0.5,1.3,1.1,2.3,,huntbr01,17-18
C/LW,0,0.0,0.0,0.0,0.0,1.29,0,0,0,0,0,0,0,0,0,1.7,1.1,0.6,-0.2,0.1,-0.1,,malonbr01,17-18
LW,32,0.5,0.75,1.25,0.47,2.68,35,52,87,33,113,37,63,12,25,45.5,37.3,8.2,8.4,2.5,11.0,4.0,marchbr03,17-18
C,5,0.04,0.16,0.2,0.06,1.38,3,12,15,5,27,0,65,16,-24,34.8,35.7,-0.9,-1.3,0.6,-0.7,,richabr02,17-18
D,8,0.05,0.26,0.3,0.1,1.87,4,21,25,8,62,10,91,13,-27,62.0,67.3,-5.3,0.9,1.8,2.7,,skjeibr01,17-18
D,2,0.0,0.08,0.08,0.02,1.0,0,6,6,2,59,1,72,25,10,51.7,45.8,5.9,-1.2,3.9,2.7,,carlobr01,17-18
D,3,0.08,0.06,0.14,0.06,1.24,4,3,7,3,26,0,49,10,-13,29.0,27.3,1.7,0.1,0.7,0.7,,davidbr01,17-18
C,6,0.1,0.16,0.26,0.1,1.44,6,10,16,6,31,1,46,13,-2,32.8,35.6,-2.7,-0.4,0.9,0.6,1.0,dubinbr01,17-18
D,7,0.11,0.18,0.29,0.11,1.71,7,12,19,7,43,1,54,12,0,43.3,39.6,3.8,1.2,2.3,3.5,,mannibr01,17-18
D,11,0.11,0.29,0.4,0.14,2.0,9,23,32,11,86,18,65,12,16,50.0,53.8,-3.8,2.2,4.7,6.9,2.0,montobr01,17-18
C,2,1.5,0.0,1.5,0.82,5.5,3,0,3,2,3,0,0,0,3,1.2,1.0,0.2,0.5,0.2,0.7,1.0,pirribr01,17-18
LW,14,0.22,0.21,0.43,0.18,2.89,18,17,35,14,68,18,75,15,-10,57.2,49.8,7.4,1.4,1.3,2.7,,saadbr01,17-18
