ShiftLength,CorsiForRelES,GFPer60,GAPer60,ATOIPP,PPCorsiPercRel,PPGFPer60,PPGAPer60,ATOISH,CorsiForRelSH,SHFPPer60,SHGAPer60,UID,season
0:54,-5.5,2.2,2.1,0:05,-20.9,4.4,0.0,0:00,84.8,0.0,0.0,fischch01,19-20
0:35,0.5,2.4,2.7,0:00,,0.0,0.0,0:33,-5.8,0.0,6.6,folinch01,19-20
0:29,-2.6,2.4,2.8,0:00,,,,0:49,15.9,0.0,12.2,jarosch01,19-20
0:58,-9.2,2.8,1.4,1:13,7.7,0.0,0.0,0:04,-10.0,0.0,10.7,wolanch01,19-20
0:37,-5.3,0.5,2.7,0:01,19.1,0.0,0.0,1:14,5.1,0.0,3.4,ehnch01,19-20
0:37,0.3,1.6,6.5,0:05,,0.0,0.0,0:07,,0.0,0.0,bishocl01,19-20
0:35,6.6,3.0,2.6,3:06,5.9,7.6,1.4,0:55,6.2,4.7,5.6,giroucl01,19-20
0:45,5.3,2.2,2.5,2:41,-1.4,5.9,0.3,0:01,-16.6,0.0,0.0,kellecl01,19-20
0:44,-4.1,2.6,2.2,0:04,-3.5,0.0,0.0,2:50,-7.7,0.4,8.3,cecico01,19-20
0:46,-6.1,1.6,2.6,0:25,5.5,6.6,0.0,1:52,1.4,0.0,7.2,eakinco01,19-20
0:43,-2.1,1.5,2.6,2:13,-4.6,8.9,0.7,0:01,-12.9,0.0,0.0,glassco01,19-20
0:34,-11.4,0.0,2.3,0:01,,0.0,0.0,1:30,-12.5,0.0,18.8,golouco01,19-20
0:47,-3.2,0.6,2.5,0:00,,0.0,0.0,0:54,3.5,0.0,12.2,caveco01,19-20
0:48,-6.3,1.4,3.6,0:00,,,,0:32,8.9,0.0,10.9,bardrco01,19-20
0:26,-0.2,3.5,2.1,0:05,,0.0,0.0,0:00,-7.3,0.0,0.0,blackco01,19-20
0:35,1.0,2.0,2.5,1:21,-7.3,4.3,0.9,0:18,8.7,0.0,7.5,milleco02,19-20
0:35,2.0,2.1,2.8,2:10,-3.6,3.6,1.4,0:01,-15.7,0.0,10.0,whiteco02,19-20
0:36,8.1,4.5,0.0,1:42,-7.2,4.9,4.9,0:00,,0.0,0.0,wilsoco01,19-20
0:46,-2.0,2.7,2.3,0:46,3.7,9.0,0.0,1:56,2.7,1.0,8.6,parayco01,19-20
0:59,-6.8,2.4,2.3,0:01,,0.0,0.0,2:30,-2.4,0.0,8.9,scevico01,19-20
0:34,-6.7,2.5,2.8,0:12,-23.9,0.0,9.7,2:21,-3.3,0.4,7.5,sissoco01,19-20
0:34,-13.5,1.5,3.1,0:00,,0.0,0.0,0:51,-19.4,0.0,0.0,whiteco03,19-20
0:31,0.3,2.7,3.0,1:40,3.0,3.5,2.5,2:36,-3.9,1.9,9.6,brownco02,19-20
0:44,-6.4,3.1,0.9,0:01,11.7,19.4,0.0,0:01,-21.2,0.0,0.0,bunnaco01,19-20
0:28,-4.8,2.3,3.2,0:05,16.6,0.0,0.0,0:27,0.6,4.4,0.0,carrico01,19-20
0:45,-4.1,2.5,1.8,0:04,-21.2,0.0,0.0,0:27,-2.1,0.0,8.3,cliftco01,19-20
0:52,1.0,3.7,3.7,3:53,-2.3,12.4,1.9,0:06,-10.5,0.0,2.7,mcdavco01,19-20
0:43,0.9,3.0,3.0,0:04,-16.8,0.0,0.0,2:45,-5.3,1.1,4.5,murphco02,19-20
0:40,3.8,2.9,2.5,2:05,3.3,6.5,1.5,0:00,83.5,0.0,0.0,garlaco01,19-20
0:35,0.3,2.4,2.6,1:11,-3.2,4.4,0.9,0:01,37.2,0.0,0.0,shearco01,19-20
0:34,12.7,6.3,0.0,0:02,,0.0,0.0,0:36,,0.0,0.0,timmico01,19-20
0:39,-3.5,2.2,2.4,2:08,6.2,6.9,0.5,0:00,23.8,0.0,0.0,perryco01,19-20
0:42,-1.2,2.9,4.4,0:39,17.0,0.0,0.0,0:00,,0.0,0.0,conacco01,19-20
