CorsiFor,CorsiAgainst,CorsiForPerc,CorsiForPercRel,FenwickF,FenwickA,FenwickPerc,FenwickPercRel,TeamOnIceShootPerc,TeamOnIceSavePerc,ShootPercPlusSavePerc,OZoneStartPerc,DZoneStartPerc,ATOIEV,TakeAways,GiveAways,EPlusMin,ShotAttempts,ShotThruPerc,UID,season
16,18,47.1,-9.2,13,17,43.3,-13.8,0.0,86.7,86.7,86.7,13.3,7:15,0,1,-0.6,1.0,100.0,khokhal01,14-15
967,795,54.9,2.7,711,584,54.9,2.8,9.8,90.0,99.8,60.4,39.6,13:56,28,39,11.8,224.0,57.6,killoal01,14-15
472,359,56.8,2.9,350,281,55.5,1.7,7.1,92.7,99.8,67.0,33.0,13:55,2,22,3.7,118.0,45.8,kindlja01,14-15
1044,891,54.0,-0.6,782,705,52.6,-1.4,6.7,92.2,98.9,52.7,47.3,13:02,20,23,3.5,199.0,63.8,kingdw01,14-15
1071,1073,50.0,4.3,800,794,50.2,5.0,7.4,88.3,95.6,57.8,42.2,19:47,48,48,-6.3,227.0,43.2,klefbos01,14-15
972,1014,48.9,-1.9,704,764,48.0,-3.1,11.0,92.8,103.8,43.7,56.3,16:33,15,44,-2.2,175.0,43.4,kleinke01,14-15
4,5,44.4,1.4,2,5,28.6,-17.8,0.0,80.0,80.0,60.0,40.0,3:19,0,1,-0.2,0.0,,klingca01,14-15
1344,1163,53.6,2.4,967,854,53.1,1.5,9.5,90.8,100.3,50.0,50.0,18:45,32,59,7.3,237.0,41.4,klingjo01,14-15
620,666,48.2,-0.5,475,471,50.2,2.0,6.2,92.5,98.6,38.3,61.7,11:06,13,12,-4.3,,,klinkro01,14-15
11,10,52.4,4.0,8,7,53.3,3.3,0.0,100.0,100.0,83.3,16.7,6:24,0,0,0.1,4.0,50.0,knighco01,14-15
43,43,50.0,,35,32,52.2,,4.5,96.2,100.7,48.1,51.9,15:49,1,0,0.0,8.0,75.0,koekksl01,14-15
1127,957,54.1,4.5,864,707,55.0,4.2,8.4,90.8,99.2,54.9,45.1,14:34,60,26,13.1,301.0,59.5,koivumi01,14-15
627,722,46.5,-0.8,491,555,46.9,0.3,8.9,91.4,100.3,39.6,60.4,12:00,51,18,-0.1,138.0,60.9,komarle01,14-15
550,609,47.5,-4.3,415,464,47.2,-4.6,3.6,91.3,94.9,46.3,53.7,10:26,11,12,-3.9,184.0,57.6,kopecto01,14-15
1229,905,57.6,4.3,915,680,57.4,5.0,8.0,89.1,97.1,52.5,47.5,14:47,27,47,11.1,245.0,53.1,kopitan01,14-15
734,923,44.3,-5.5,526,663,44.2,-5.0,4.3,91.5,95.9,45.3,54.7,12:26,26,15,-10.6,163.0,50.3,korpila01,14-15
96,90,51.6,3.5,70,72,49.3,0.4,12.5,89.8,102.3,57.9,42.1,14:39,2,5,-0.1,13.0,53.8,kostkmi01,14-15
