"ID","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"366","Robby Fabbri","DET","C","28","0.6","0.021428571428571","-12.76","-8.5","-10.53","-11.78","18.51","-12.63","-10.31","39.62","-14.58","-0.49","-8.84","-","-0.62","7.86","-7.31","-2.95","39.62","-4.65","-1.47","74.47","-5.45","0","-3.44","-","-1.96","-46.47","-","-0.65","-4.58","-12.50","-3.55","-67.37","-","0","-2.84","0.00","-","100.00","1.00","0","0","100","200","0.00","0","0","100","0.00"
"801","Nils Aman","VAN","C","68","82.583333333333","1.2144607843137","-0.85","-8.69","0.20","-0.53","-8.55","0.73","-0.71","-8.98","1.23","-1.09","-4.88","0.00","-0.29","-1.04","-1.67","-0.57","-15.66","2.13","-1.41","-6.86","-1.26","-0.07","-3.88","27.78","1.12","-11.74","5.13","-0.34","-2.12","-7.69","-2.62","6.19","-4.00","0","0.85","0.00","15.38","86.76","1.021","0.73","9.45","18.16","80.65","3.85","3.63","10.17","21.8","14.29"
"308","Ryan Hartman","MIN","R","59","45.916666666667","0.77824858757062","4.36","-8.74","4.20","6.05","-11.29","7.82","8.36","-18.7","16.97","5.33","1.57","29.33","1.72","-1.92","20.16","2.25","-0.81","3.28","3.5","-0.32","10.29","5.81","0.68","44.16","-1.66","-0.65","-3.12","-0.32","-0.7","-7.14","4.7","-11.36","6.41","0","2.03","0.00","31.25","80.00","1.113","3.92","9.15","41.81","47.04","8.57","6.53","13.07","58.8","10.00"
"752","Ilya Mikheyev","VAN","R","46","64.483333333333","1.4018115942029","-9.57","-8.78","-6.87","-7.73","-9.09","-6.58","-7.29","0.76","-9.75","-1.84","1.1","-12.50","-0.89","-0.12","-8.60","-5","3.13","-7.02","-3.2","0.38","-9.55","-0.46","-2.24","-6.25","-2.4","3.67","-5.03","-0.61","6.86","-16.67","-1.97","-22.53","-1.74","0","-2.62","0.00","0.00","76.19","0.762","0.93","8.37","14.89","80.02","5.88","2.79","13.03","15.82","15.00"
"175","Lukas Sedlak","COL, PHI","C","30","48.55","1.6183333333333","-3.18","-8.88","-1.36","-4.57","-2.37","-3.64","-4.33","-10.85","-2.86","0.69","3.16","3.54","-0.32","-0.46","-2.14","2.16","-10.09","4.27","2.24","-10.3","9.06","1.24","3.09","14.29","-0.11","0.28","-0.26","0","3.71","0.00","1.45","1.18","1.58","0","-3.91","0.00","14.29","76.19","0.905","1.24","2.47","38.31","60.56","3.13","2.47","4.94","48.2","4.88"
"718","Peyton Krebs","BUF","C","74","51.066666666667","0.69009009009009","4.21","-8.9","3.71","2.37","-6.04","2.66","1.71","-4.5","2.66","-0.25","-2.97","1.18","0.16","-0.85","2.50","3.15","-4.51","4.15","2.74","-2.29","7.58","-0.02","-2.19","7.76","0.55","-2.97","1.30","0","-0.38","0.00","6.72","-0.95","7.92","0","-0.71","0.00","8.33","87.50","0.958","0","7.05","57.57","35.25","0.00","1.17","8.22","65.8","1.75"
"92","Marcus Johansson","MIN, WSH","L","80","59.366666666667","0.74208333333333","5.97","-9.08","5.25","6.32","-9.79","7.73","0.83","-6.16","3.07","-0.58","-3.31","2.22","-0.08","-1.14","0.87","3.78","-3.54","6.08","1.28","-3.24","6.13","0.41","-0.35","10.00","3.34","-0.4","6.07","-0.53","-3.18","-14.29","1.58","-13.27","3.53","-0.29","-0.84","-11.11","7.14","91.49","0.986","3.03","2.02","21.22","84.9","12.50","4.04","6.06","31.33","11.43"
"813","Cole Sillinger","CBJ","C","64","45.383333333333","0.70911458333333","-0.61","-9.11","0.58","-0.55","-7.28","0.58","-0.27","-9.11","1.88","-1.13","0.24","-11.11","-0.01","-0.07","-0.02","0.05","-5.17","0.90","0.59","-4.53","4.16","-0.68","-0.96","-15.79","-0.72","-0.85","-0.99","-0.3","0.78","-6.25","2.11","-10.49","3.94","0","0.89","0.00","0.00","82.93","0.829","3.97","6.61","18.51","83.29","17.65","3.97","9.25","19.83","16.67"
"617","Calle Rosen","STL","D","49","38.4","0.78367346938776","5.86","-9.14","5.41","6.59","-8.51","7.13","2.16","0.62","2.52","-0.73","-1.13","-5.71","-0.18","-1.23","-0.38","0.14","-2.6","0.66","-3.92","-4.81","-10.38","-0.73","-1.53","-10.53","5.41","2.94","9.00","0","5.41","0.00","0.14","-7.03","0.53","0","-5.28","0.00","0.00","82.05","0.821","1.56","1.56","31.25","67.19","4.76","4.69","3.13","35.94","11.54"
"5","Brent Burns","CAR","D","82","172.08333333333","2.0985772357724","-1.24","-9.3","0.80","-1.49","-11.04","1.39","-1.98","-10.37","0.98","-0.8","0.05","-9.21","-0.71","-0.69","-5.94","-1.08","-1.32","-1.24","-2.97","-0.93","-7.97","-1.26","0.14","-25.00","2.52","-0.52","6.23","0.62","1.25","8.33","-1.11","-8.85","0.92","0","-1.49","0.00","10.00","85.84","0.958","0.7","5.23","31.73","45.33","2.15","3.49","9.07","44.63","7.25"
