"ID","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"194","Blake Coleman","CGY","C","82","1104.0833333333","13.464430894309","4.2","-4.07","3.58","4.14","-2.36","3.60","3.63","-1.86","4.24","-0.57","-0.59","0.72","0.37","-0.16","4.60","3.79","-1.94","4.74","3.35","-0.65","7.88","0.12","-0.32","7.89","0.57","-1.76","2.69","-0.38","-0.71","7.85","1.36","-2.99","3.38","-0.57","0.39","-49.61","6.35","91.21","0.976","9.62","13.64","7.93","48.69","54.80","21.9","20.49","17.77","55.21"
"255","Colton Parayko","STL","D","79","1554.75","19.680379746835","-4.1","-4.08","-0.36","-3.96","-3.6","-0.63","-4.59","-1.43","-3.12","-1.09","-0.02","-10.92","-0.28","-0.26","-0.81","-3.34","-1.78","-1.82","-1.22","-1.74","0.41","-0.56","-0.03","-10.72","-2.82","-0.03","-3.31","-0.53","0.1","-12.58","0.21","-2.9","2.20","-0.2","-0.11","-8.41","7.88","90.67","0.985","4.67","14.7","10.61","47.04","30.56","12.58","20.61","20.11","38.49"
"563","Taylor Raddysh","CHI","R","78","1014.2","13.002564102564","3.07","-4.1","3.25","1.17","-3.38","2.63","1.29","-4.64","4.75","-0.24","-0.95","4.98","0.17","-0.21","3.82","1.57","-1.68","2.99","1.01","-0.49","3.62","-0.1","0","-2.38","0.73","-1.62","2.58","-0.33","-0.88","13.87","3.04","-2.77","4.30","0.14","-0.38","20.24","7.05","92.14","0.992","9.11","13.19","8.7","43.36","51.16","18.28","19.35","19.58","48.28"
"49","Pat Maroon","T.B","L","80","814.95","10.186875","-3.69","-4.13","0.32","-2.7","-2.38","-0.12","-5.15","-2.49","-2.33","-1.39","-0.74","-7.30","-0.44","-0.21","-2.02","-5.3","-3.19","-1.63","-2.02","-0.67","-2.53","-0.84","-0.47","-4.37","-4.33","-3.35","-0.96","-0.37","-0.13","-9.17","2.25","-2.61","2.78","-0.34","-0.25","-6.10","6.01","93.40","0.994","8.47","14.72","6.11","48.59","58.08","14.21","19.22","14.06","50.26"
"599","Michael Eyssimont","S.J, T.B, WPG","C","54","613.15","11.35462962963","9.69","-4.13","5.92","6.65","-1.81","4.84","4.47","0.16","3.43","0.53","-0.18","7.06","0.69","-0.11","6.87","6.69","-0.95","6.15","3.51","-1.6","9.88","-0.12","0.01","-2.52","4.33","0.96","3.50","0.18","-0.09","6.38","5.04","-0.94","3.50","0.74","-0.2","40.20","8.19","91.85","1.000","9.79","16.05","9.3","49.42","51.28","17.52","21.23","18.4","48.77"
"872","Justin Barron","MTL","D","39","559.85","14.355128205128","-0.99","-4.15","1.07","-2.09","-5.17","1.28","-0.91","-3.64","1.82","0.85","0.36","5.36","-0.18","-0.18","-0.59","-0.44","0.25","-0.62","-0.78","-0.03","-1.82","0.3","-0.35","9.90","0.44","0.23","0.36","0.99","1.16","-0.47","-2.76","-5.17","0.99","-0.29","-0.22","6.90","12.21","88.70","1.009","8.57","11.36","4.93","45.44","63.49","19.61","20.15","12.86","60.40"
"627","Cody Glass","NSH","C","72","842.98333333333","11.708101851852","-0.34","-4.25","1.62","-0.4","-4.58","2.33","0.7","-5.56","5.17","0.2","-1.06","15.15","0","-0.44","4.00","-0.33","-4.13","3.11","0.56","-1.81","4.88","-0.05","-0.63","14.25","-1.28","-3.07","1.71","-0.13","-0.39","6.45","0.91","-1.44","1.61","0.53","-0.21","31.89","8.34","94.53","1.029","8.97","10.89","6.83","47.47","56.76","17.37","17.37","16.3","51.59"
"215","Jonas Brodin","MIN","D","60","1067.1333333333","17.785555555556","5.25","-4.26","4.22","2.97","-2.41","3.25","2.12","-2.82","4.28","0.45","-0.6","12.62","0.16","0.02","1.55","3.12","-2.87","5.76","0.83","-0.08","2.12","0.57","-0.14","15.21","3.08","-3.7","8.19","0.04","-0.31","11.56","1.75","-2.82","2.99","-0.22","-0.34","5.13","8.00","93.73","1.017","5.96","11.02","6.97","42.34","46.09","18.72","18.78","16.81","52.69"
"688","Samuel Walker","MIN","C","9","94.25","10.472222222222","-4.3","-4.26","-0.04","4.71","-6.55","7.07","4.84","-2.8","6.76","-1.41","1.38","-37.57","-0.33","-0.23","-0.90","-4.94","-3.86","-1.36","-3.5","-1.28","-5.19","-0.17","0.48","-15.29","-1.92","-3.48","1.31","-0.94","1.46","-79.40","3.69","1.37","1.82","-0.7","-0.22","-75.77","4.10","91.09","0.952","9.55","8.91","11.46","42.65","45.45","16.55","16.55","17.19","49.06"
"168","Nino Niederreiter","NSH, WPG","R","78","1011.7666666667","12.971367521368","5.46","-4.28","4.17","2.62","-1.26","2.25","3.19","0.37","2.29","0.29","0.27","-0.04","0.19","-0.19","3.51","1.91","-1.31","2.71","1.5","-1.66","6.42","0.07","-0.25","6.06","0.54","0.51","0.04","0.04","0.39","-8.64","3.6","-3.93","5.12","0.28","0.36","-8.65","8.42","91.79","1.002","9.43","14.23","6.4","43.11","59.55","19.69","19.75","14.94","56.85"
"706","Kiefer Sherwood","NSH","L","32","380.25","11.8828125","8.47","-4.28","5.78","4.53","-2.04","4.16","3","2.47","0.95","1.09","-0.36","15.13","0.51","0.27","3.08","1.36","0.44","0.96","1.83","0.47","3.46","0.53","-0.49","21.84","-0.52","-0.04","-0.58","0.6","-0.14","16.44","9.63","-4.91","10.28","0.12","0.33","-3.88","10.81","93.44","1.042","10.1","9.78","5.68","49.23","64.00","16.57","14.83","12.94","56.15"
"98","Ryan O'Reilly","STL, TOR","C","53","728.55","13.746226415094","4.59","-4.3","4.06","3.39","-1.29","2.83","3.31","-0.32","3.01","0.14","1.38","-11.00","0.43","-0.06","4.47","4.1","-2.95","5.92","3.7","-0.72","9.03","0.39","0.75","-6.06","0.5","-2.95","3.70","-0.37","0.02","-6.74","1.8","-0.43","1.82","0.04","0.88","-17.88","8.68","88.32","0.970","6.84","12.93","12.52","44.22","35.32","18.2","17.62","22.98","44.20"
"288","Buddy Robinson","CHI","R","9","102.2","11.355555555556","4.32","-4.3","4.00","5.45","-5.56","6.93","4.39","-3.7","7.17","0.58","-1.06","18.80","0.26","-0.73","10.83","2.89","0.19","2.75","2.23","-0.22","5.71","0.7","-1.54","59.68","0.76","0.49","0.49","0.32","-0.2","17.91","3.21","-4.36","5.70","-0.51","0.95","-40.82","7.73","93.40","1.011","4.11","12.33","4.7","58.71","46.67","12.33","18.79","12.33","50.00"
"29","Brad Marchand","BOS","L","73","924.3","12.661643835616","14.42","-4.31","7.84","10.11","-1.5","6.35","7.31","-0.49","5.75","-0.02","-0.54","7.63","0.86","-0.15","8.66","9.19","-2.03","8.56","4.28","-0.32","8.35","0.07","-0.25","7.57","6.56","-2.27","8.70","0.28","-0.17","9.89","8.05","-2.87","7.56","-0.45","-0.21","-1.24","8.21","95.44","1.036","18.44","11.17","12.53","41.61","59.54","31.35","14.54","20.97","59.93"
"877","Quinton Byfield","L.A","C","53","657.1","12.398113207547","-4.95","-4.34","-0.03","-3.31","-1.56","-0.84","-3.92","-0.98","-2.21","0.93","-0.58","14.02","-0.31","-0.2","-0.94","-1.97","-3.72","1.88","-0.09","-0.9","2.02","1.05","-0.07","18.31","-2.51","-3.7","1.64","-0.68","-0.31","-5.36","-5.75","2.3","-4.38","0.61","-0.38","40.51","11.67","91.88","1.035","10.14","15.89","10.32","44.56","49.55","16.8","21.28","19.81","45.89"
