"ID","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"579","Jake Leschyshyn","NYR, VGK","C","35","1.0333333333333","0.02952380952381","-62.88","-11.8","8.89","-34.64","-9.27","9.09","-9.78","-8.01","10.56","-9.69","0","-","-7.43","-0.7","6.84","-75.01","-4.64","-","-30.34","-2.11","-","-4.21","0","-","-59.56","-3.37","-","-4.49","0","-100.00","101.4","-5.48","7.63","-3.04","0","-100.00","0.00","-","0.00","232.26","0","0","174.19","100.00","290.32","0","0","100.00"
"693","Jan Jenik","ARI","R","2","0.1","0.05","-102.3","-11.8","-","-82.62","-3.93","-","-59.02","-3.93","-","-3.93","0","-","-7.85","-0.49","-","-51.15","-3.93","-","-27.54","0","-","0","0","-","-31.48","-5.25","-","0","0","-","-73.88","-11.37","-","-5.68","0","-100.00","-","-","-","0","0","0","600","-","0","0","0","-"
"527","Riley Stillman","BUF, VAN","D","50","2.1833333333333","0.043666666666667","6.96","-11.97","10.42","2.94","-11.02","12.17","-3.23","-8.86","13.21","18.62","-1.92","17.78","9.87","-0.88","9.93","-1.79","-5.99","9.54","30.3","-4.55","15.57","23.65","-1.68","30.43","-42.78","-1.92","-","-3.51","0","-100.00","9.87","-1.73","2.43","-3.46","0","-100.00","50.00","-","0.50","54.96","0","0","137.4","100.00","54.96","0","0","100.00"
"251","Chris Tierney","FLA, MTL","C","36","4.2666666666667","0.11851851851852","3.65","-12.14","11.36","-31.45","-10.97","12.96","-10.69","-9.01","14.56","-5.48","-0.39","-","-6.33","-0.58","7.08","-22.79","-4.31","7.80","-23.11","-1.96","-","-2.74","-0.39","-","0.42","-3.13","7.79","-2.09","0","-100.00","31.97","-2.83","3.91","-1.7","0","-100.00","0.00","-","0.00","28.13","14.06","14.06","42.19","66.67","70.31","14.06","14.06","83.33"
"334","Curtis Lazar","N.J, VAN","C","49","2.5833333333333","0.052721088435374","-41.42","-12.14","9.85","-15.75","-10.74","11.17","-9.1","-9.34","14.39","-7.24","-1.87","-","-3.44","-0.84","9.40","-17.73","-6.3","8.94","-4.55","-3.97","12.50","-4.43","-1.4","-","-17.58","-3.11","6.02","-2.18","-0.31","-87.50","-37.92","-1.69","2.30","-1.69","0","-100.00","0.00","-","0.00","92.9","46.45","0","162.58","100.00","92.9","46.45","0","100.00"
"61","Jake Muzzin","TOR","D","4","0.033333333333333","0.0083333333333333","-95.19","-12.2","-","-63.46","-9.76","-","-34.17","-7.32","-","-7.32","0","-","-7.78","-0.15","-","-68.34","-4.88","-","-26.85","0","-","-4.88","0","-","-55.32","-6.51","-","-3.25","0","-100.00","-35.25","-3.53","-","0","0","-","-","-","-","0","0","0","1800","-","0","0","0","-"
"555","Casey Fitzgerald","BUF, FLA","D","27","0.18333333333333","0.0067901234567901","-105.73","-12.23","-","-81.27","-10.65","-","-61.55","-8.28","-","-11.05","-0.79","-","-8.18","-0.6","-","-57.6","-5.13","-","-23.67","-3.55","-","-4.34","-0.79","-","-45.24","-2.1","-","-6.31","0","-100.00","-78.07","-3.99","-","-2.85","0","-100.00","-","-","-","0","0","0","327.27","-","0","0","0","-"
"863","Anton Levtchi","FLA","L","2","0.73333333333333","0.36666666666667","131.02","-12.37","9.76","-4.78","-3.09","3.45","29.24","-3.09","5.56","-9.28","0","-","0.1","-0.17","1.58","-1.69","-3.09","3.57","35.43","0","0.00","-6.19","0","-","-49.48","-4.12","-","-4.12","0","-100.00","82.44","-4.47","11.11","0","0","-","0.00","-","0.00","0","0","0","0","-","81.82","0","0","100.00"
"51","Brad Malone","EDM","C","10","0.76666666666667","0.076666666666667","114.74","-12.38","9.35","62.47","-11.14","10.59","85.98","-8.66","10.94","-14.85","-1.24","-","-1.49","-1.51","11.37","-0.94","-8.66","9.86","-30.94","-3.71","-","-3.71","-1.24","-","40","-6.6","9.30","-11.55","0","-100.00","167.1","-1.79","2.94","-3.58","0","-100.00","0.00","-","0.00","234.78","0","0","156.52","100.00","234.78","0","0","100.00"
"578","Morgan Geekie","SEA","C","69","5.2666666666667","0.076328502415459","-7.27","-12.43","11.22","8.31","-11.21","13.56","18.8","-8.4","14.50","5.26","-1.4","18.60","1.2","-0.83","10.82","22.13","-5.78","11.11","13.69","-3.15","13.33","9.29","-0.7","25.00","11.25","-3.5","9.26","-3.27","-0.23","-93.33","-61.44","-3.79","4.64","-2.28","-0.51","-81.82","16.67","-","0.17","34.18","11.39","0","125.32","100.00","68.35","11.39","0","100.00"
"220","Alex Galchenyuk","COL","C","11","4.2666666666667","0.38787878787879","-45.43","-12.47","10.92","-57.88","-11.51","13.79","-32.94","-10.55","18.33","-10.55","0","-","-7.04","-0.75","8.87","-67.15","-6.71","-","-28.78","-1.92","-","-5.76","0","-","-51.16","-6.39","-","-5.12","0","-100.00","-2.33","-4.16","8.82","-1.39","0","-100.00","0.00","-","0.00","14.06","0","0","98.44","100.00","14.06","0","0","100.00"
"460","Austin Czarnik","DET","C","29","15.733333333333","0.54252873563218","-49.77","-12.64","7.08","-46.14","-10.82","5.38","-27.25","-11.89","18.06","-4.87","-0.91","9.52","-4.89","-0.31","-4.18","-34.72","-2.59","-4.29","-15.69","1.07","-22.81","-2.59","-0.46","6.67","-25.38","-4.88","9.64","-0.61","-0.61","-50.00","-19.1","-8.58","11.11","-2.64","0","-100.00","14.29","-","0.14","19.07","0","0","61.02","100.00","22.88","3.81","0","100.00"
"517","William Lockwood","VAN","R","13","1.1166666666667","0.085897435897436","-52.96","-12.68","10.63","-30.58","-12.68","13.08","-5.21","-11.19","15.96","-6.72","-2.24","-","-1.17","-0.72","8.15","-11.18","-4.48","6.45","23.14","-2.24","6.82","-4.48","-0.75","-","-45.76","-2.98","-","-2.98","-0.99","-75.00","-59.27","-2.16","-","0","0","-","0.00","-","0.00","53.73","53.73","0","161.19","100.00","107.46","53.73","0","100.00"
"404","Dryden Hunt","COL, NYR, TOR","L","37","1.45","0.039189189189189","-65.84","-12.71","10.60","-40.42","-11.61","12.43","-60.24","-10.5","-","-9.67","-0.83","-","-6.64","-0.7","7.83","-63.28","-5.25","-","-22.94","-2.21","-","-3.87","-0.83","-","-53.8","-4.05","-","-5.53","0","-100.00","-0.9","-3.19","5.00","-2.4","0","-100.00","-","-","-","82.76","0","0","82.76","100.00","82.76","0","0","100.00"
"751","Alex Vlasic","CHI","D","6","0.18333333333333","0.030555555555556","-98.5","-12.71","-","-73.08","-12.71","-","-60.37","-6.35","-","-9.53","-3.18","-","-6.99","-0.99","-","-38.13","-6.35","-","-22.24","-3.18","-","-3.18","-3.18","-","-21.18","-4.24","-","-4.24","0","-100.00","-91.79","-9.18","-","-4.59","0","-100.00","-","-","-","0","0","0","654.55","-","0","0","0","-"
"862","Pavol Regenda","ANA","L","14","10.416666666667","0.74404761904762","-38.87","-12.74","10.07","-24.3","-11.83","12.62","-25.5","-10.01","14.29","-6.37","0","-","-2.45","-0.86","9.15","-8.83","-8.19","10.98","1.2","-3.64","14.29","-3.64","0","-","-13.37","-6.07","9.26","-2.43","0","-100.00","-36.82","-1.31","2.08","-1.31","0","-100.00","0.00","-","0.00","34.56","5.76","0","34.56","100.00","34.56","5.76","0","100.00"
"665","Mattias Samuelsson","BUF","D","55","7.2333333333333","0.13151515151515","-64.82","-12.88","12.55","-58.19","-12.45","15.78","-50.66","-10.13","-","-8.44","-1.06","-","-4.73","-1.23","15.69","-23.03","-6.54","12.02","-9.86","-4.01","18.10","-2.11","-0.63","-","-17.56","-3.38","7.84","-4.78","-0.28","-94.44","-52.96","-2.44","3.62","-3.96","0","-100.00","-","-","-","41.47","24.88","8.29","132.72","83.33","41.47","24.88","8.29","83.33"
"755","Connor McMichael","WSH","C","6","0.066666666666667","0.011111111111111","-94.32","-13.06","-","-65.3","-10.16","-","-39.18","-7.26","-","-7.26","0","-","-5.65","-0.72","-","-46.43","-8.71","-","-17.41","-4.35","-","-1.45","0","-","-38.69","-5.8","-","0","0","-","-75.45","-4.19","-","-8.38","0","-100.00","-","-","-","900","0","0","0","100.00","900","0","0","100.00"
"104","Calvin de Haan","CAR","D","53","0.81666666666667","0.015408805031447","181.72","-13.1","10.46","209.04","-11.1","11.57","240.36","-8.44","13.62","66.58","-0.89","11.43","40.89","-0.63","7.12","158.89","-6.22","9.18","122.29","-2.67","9.76","71.03","-0.89","26.67","48.8","-4.74","8.79","-3.55","0","-100.00","30.42","-3.85","4.84","-2.57","0","-100.00","25.00","-","0.25","0","73.47","0","367.35","-","0","73.47","0","-"
"216","Brad Hunt","COL","D","47","2.5666666666667","0.054609929078014","17.17","-13.17","11.67","-9.15","-12.09","13.24","-7.8","-11.29","17.14","-7.79","-0.54","-","-1.48","-0.82","8.96","-13.45","-5.11","7.82","-0.54","-2.69","10.10","-2.69","-0.54","-","-17.21","-3.23","6.25","-3.94","0","-100.00","43.07","-4.66","7.41","-3.11","0","-100.00","0.00","-","0.00","23.38","0","0","140.26","100.00","23.38","0","0","100.00"
"652","James Hamblin","EDM","L","10","1.0333333333333","0.10333333333333","54.06","-13.2","9.90","21.08","-10.56","10.00","43.52","-7.92","9.84","-15.84","-1.32","-","-3.15","-0.55","4.88","-21.14","-6.6","7.69","-34.32","-1.32","-","-9.24","0","-","17.57","-7.04","10.53","-5.28","-1.76","-75.00","108.63","-1.91","3.13","-3.81","0","-100.00","0.00","-","0.00","232.26","0","0","0","100.00","232.26","0","0","100.00"
"545","Brandon Duhaime","MIN","R","51","2.8","0.054901960784314","17.03","-13.34","10.68","-43.47","-10.91","11.22","-20.68","-8.73","12.08","-8","-0.73","-","-4.75","-0.76","7.60","-23.34","-4.85","6.83","-6.94","-1.7","5.65","-4.85","-0.24","-","-21.87","-4.2","7.69","-2.91","-0.32","-90.00","28.06","-6.3","8.87","-1.4","0","-100.00","0.00","-","0.00","21.43","42.86","0","128.57","100.00","42.86","64.29","0","100.00"
"372","Andreas Englund","CHI, COL","D","47","0.35","0.0074468085106383","-98.47","-13.4","-","-76.56","-12.37","-","-53.62","-11.34","-","-6.7","-0.52","-","-8","-0.82","-","-54.13","-4.9","-","-23.2","-2.32","-","-2.58","-0.52","-","-41.24","-3.44","-","-3.78","0","-100.00","-63.67","-4.1","-","-1.86","0","-100.00","-","-","-","171.43","0","0","342.86","100.00","171.43","0","0","100.00"
"710","Spencer Stastney","NSH","D","8","0.033333333333333","0.0041666666666667","-87.22","-13.53","-","-75.19","-12.03","-","-46.62","-10.53","-","-7.52","0","-","-6.73","-1.07","-","-55.64","-10.53","-","-25.56","-7.52","-","-4.51","0","-","-40.1","-4.01","-","-2.01","0","-100.00","-41.27","0","-","-2.17","0","-100.00","-","-","-","0","0","0","1800","-","0","0","0","-"
"15","Alexander Edler","L.A","D","64","3.6","0.05625","-34.92","-13.56","11.77","-24.28","-11.33","13.23","-2.74","-10.03","15.98","6.64","-1.49","12.90","0.55","-0.96","11.61","-25.35","-7.06","10.73","11.79","-2.41","10.08","12.58","-0.56","12.00","-49.52","-6.19","-","-4.46","-0.74","-85.71","-53.79","-4.83","4.52","-3.76","-0.27","-93.33","33.33","-","0.33","0","33.33","0","166.67","-","0","33.33","0","-"
"300","Ben Harpur","NYR","D","42","1.2","0.028571428571429","-67.31","-13.66","10.43","-45.63","-10.69","10.06","-63.26","-8.32","-","-8.61","-1.19","-","-2.82","-0.79","7.87","-17.12","-5.94","8.13","22.08","-2.67","8.74","-3.27","-0.89","-","-52.27","-4.36","-","-4.75","0","-100.00","-71.64","-7.29","-","-2.14","0","-100.00","-","-","-","0","50","0","100","-","0","50","0","-"
"259","Charles Hudon","COL","L","9","8.0166666666667","0.89074074074074","-39.72","-13.74","6.46","-26.25","-13.74","8.33","-14.14","-12.11","10.77","-6.53","-1.63","-","-2.73","-1.37","17.18","-49.66","-8.16","12.50","-7.21","-4.9","25.00","-3.27","-1.63","-","-56.6","-4.35","-","-2.18","0","-100.00","5.91","-7.07","10.71","-2.36","0","-100.00","0.00","100.00","1.000","29.94","7.48","0","74.84","100.00","37.42","7.48","0","100.00"
"564","Jeffrey Viel","S.J","L","4","0.26666666666667","0.066666666666667","-92.26","-13.74","-","-72.63","-9.81","-","-58.89","-5.89","-","-7.85","0","-","-7.92","-1.69","-","-49.07","-5.89","-","-15.7","-3.93","-","0","0","-","-44.49","-2.62","-","-5.23","0","-100.00","-107.74","-14.18","-","-5.67","0","-100.00","-","-","-","0","0","0","450","-","0","0","0","-"
