Player,season,Pos,GP,ATOI,BLK,CorsiForPerc,FenwickPerc,CorsiForPercRel,FenwickPercRel,CorsiAgainst,DZoneStartPerc,GAPer60,XGA,XGF,GFPer60,exGA60,exGF60,BLK_60,CorsiAgainst_60,DefenceRating
Jared Cowen,15-16,D,37,1019,58.0,42.6,42.7,-5.8,-4.4,567,55.9,2.1,22.1,17.1,2.4,2.110176908999284,1.6327613187279528,5.538020847147442,54.13892793676896,2.0
Charlie Coyle,15-16,C,82,1038,60.0,47.7,48.8,-0.2,0.3,1142,48.0,2.4,45.5,42.8,2.5,1.9244325391230792,1.8102354433948964,2.53771323840406,48.30114197095729,3.0
Adam Cracknell,15-16,RW,52,734,25.0,46.7,46.9,-0.9,-0.9,549,56.3,1.4,24.3,17.8,0.0,2.2919723328442676,1.678893313770698,2.357996227206036,51.781597149444565,2.0
Sidney Crosby,15-16,C,80,1228,35.0,55.1,55.1,3.3,3.2,1160,45.3,2.4,54.2,64.8,3.4,1.9861563517915308,2.374592833876221,1.2825732899022801,42.50814332247557,3.0
Tommy Cross,15-16,D,3,785,1.0,48.3,50.0,-1.9,0.0,31,57.1,5.4,1.6,1.6,1.8,2.4458598726114653,2.4458598726114653,1.5286624203821655,47.388535031847134,1.0
Matt Cullen,15-16,C,82,833,41.0,48.6,49.3,-5.4,-4.5,840,64.0,2.4,33.5,39.7,2.2,1.765584282493485,2.092349134775862,2.160864345738295,44.27136708341874,4.0
Craig Cunningham,15-16,RW,10,605,4.0,42.4,39.4,-0.6,-2.5,102,68.4,1.8,3.4,3.3,1.2,2.0231404958677683,1.9636363636363634,2.3801652892561984,60.69421487603305,3.0
Klas Dahlbeck,15-16,D,71,944,76.0,45.4,44.4,-1.5,-1.8,868,47.9,2.2,33.4,26.0,1.8,1.7939842444497494,1.3965146813081881,4.0821198376700885,46.62210551444259,3.0
Trevor Daley,15-16,D,82,1106,79.0,54.5,53.7,1.0,0.3,1098,41.9,1.9,47.6,60.7,2.2,1.8894720592775551,2.409473823490495,3.1358885017421603,43.5848806950999,3.0
Zac Dalpe,15-16,C,2,615,0.0,52.2,42.9,-3.3,-15.7,11,30.0,3.7,0.2,0.4,3.7,0.5853658536585366,1.170731707317073,0.0,32.19512195121951,3.0
Phillip Danault,15-16,C,51,765,28.0,50.7,50.6,2.1,1.4,531,66.7,1.8,22.4,20.5,1.3,2.0668973471741636,1.8915801614763552,2.583621683967705,48.996539792387544,3.0
Marko Daňo,15-16,C,34,735,15.0,53.8,53.1,1.9,1.8,316,39.5,1.9,16.0,16.5,1.9,2.304921968787515,2.376950780312125,2.160864345738295,45.522208883553425,2.0
Pavel Datsyuk,15-16,C,66,1179,33.0,58.3,57.5,8.1,8.8,796,38.6,2.2,37.7,50.8,2.6,1.7441591487393016,2.3502197547999075,1.5267175572519083,36.826278047652096,4.0
Laurent Dauphin,15-16,C,8,679,7.0,44.6,43.9,-0.2,-0.7,77,44.4,2.2,3.2,2.6,2.2,2.1207658321060388,1.7231222385861562,4.639175257731958,51.03092783505154,2.0
Brandon Davidson,15-16,D,51,1152,92.0,52.1,51.7,3.2,3.4,705,50.7,1.9,27.3,31.2,2.3,1.6727941176470587,1.9117647058823528,5.637254901960785,43.19852941176471,4.0
Calvin de Haan,15-16,D,72,1238,198.0,50.0,51.8,0.5,3.4,1210,50.1,2.4,56.1,59.1,2.4,2.265751211631664,2.386914378029079,7.996768982229403,48.8691437802908,2.0
Jacob de La Rose,15-16,LW,22,746,19.0,41.3,40.0,-9.4,-10.3,243,74.5,3.0,10.2,6.6,1.5,2.237387277601755,1.4477211796246647,4.167682183767974,53.30246161345357,2.0
Chase De Leo,15-16,C,2,565,0.0,30.0,35.3,-29.9,-24.2,14,66.7,0.0,0.7,0.4,3.3,2.230088495575221,1.2743362831858407,0.0,44.60176991150443,3.0
Danny DeKeyser,15-16,D,78,1308,107.0,48.5,47.7,-5.8,-5.0,1249,55.3,2.1,53.3,58.8,2.1,1.8807339449541285,2.074805928016937,3.7755822159491883,44.071983062808755,4.0
Michael Del Zotto,15-16,D,52,1405,104.0,51.0,50.8,2.3,3.1,968,53.3,2.3,40.9,38.1,1.7,2.0153298658636736,1.8773610730906105,5.124555160142349,47.69778264440187,3.0
Dylan DeMelo,15-16,D,45,817,35.0,52.5,54.1,0.6,0.9,434,44.6,1.6,16.4,22.2,1.6,1.6058751529987758,2.1738066095471233,3.427172582619339,42.496940024479805,3.0
Jason Demers,15-16,D,62,1252,73.0,54.1,54.3,1.4,2.5,927,51.0,2.0,38.5,45.6,2.6,1.7855302483767908,2.1148098526229,3.3855508605585904,42.99185818818922,4.0
David Desharnais,15-16,C,65,960,25.0,50.9,50.7,-1.8,-2.0,796,46.5,2.4,29.8,35.4,2.0,1.7192307692307693,2.042307692307692,1.4423076923076925,45.92307692307692,3.0
Andrew Desjardins,15-16,LW,77,803,49.0,49.7,49.5,-1.3,-0.8,804,72.9,1.9,34.9,30.3,1.3,2.0319904255147097,1.7641636072520257,2.8529378467111965,46.81146997460821,3.0
Nicolas Deslauriers,15-16,LW,70,620,30.0,42.5,42.5,-6.9,-7.0,680,51.3,2.8,26.3,18.0,1.6,2.1815668202764975,1.4930875576036864,2.488479262672811,56.40552995391704,2.0
Simon Despres,15-16,D,32,1178,71.0,49.3,52.0,-4.9,-1.7,509,51.4,2.2,19.3,20.7,2.4,1.8431663837011885,1.976867572156197,6.780560271646859,48.609932088285234,3.0
Phillip Di Giuseppe,15-16,LW,41,856,21.0,47.6,47.2,-2.5,-2.1,549,48.7,2.5,26.2,23.6,2.7,2.6874857533622065,2.4207886938682472,2.1540916343742875,56.31410987007066,1.0
Jason Dickinson,15-16,C,1,715,1.0,45.8,50.0,-13.1,-15.8,13,0.0,0.0,0.1,0.5,5.0,0.5034965034965035,2.5174825174825175,5.034965034965035,65.45454545454545,3.0
Darren Dietz,15-16,D,13,872,14.0,50.8,53.9,3.6,6.6,153,48.2,3.0,7.1,6.9,3.0,2.254763585038814,2.1912491178546225,4.446012702893436,48.58856739590685,2.0
Brenden Dillon,15-16,D,76,1001,89.0,49.4,51.4,-2.9,-2.1,1099,45.1,1.7,47.8,49.3,1.9,2.2619485777380515,2.33293022766707,4.211577895788422,52.005888847994115,2.0
Shane Doan,15-16,RW,72,1056,15.0,48.9,48.0,2.0,1.6,985,51.9,2.4,42.7,35.1,3.0,2.021780303030303,1.6619318181818183,0.7102272727272727,46.63825757575758,3.0
Max Domi,15-16,LW,81,982,25.0,46.8,46.1,-0.5,-0.4,1083,42.0,2.5,47.7,41.4,2.7,2.158859470468432,1.8737270875763747,1.1314777098891151,49.015614392396465,2.0
Joonas Donskoi,15-16,RW,76,849,46.0,53.3,54.8,2.5,2.5,821,50.2,2.2,31.3,44.7,2.6,1.7463269481123302,2.493955737400037,2.5664868885995906,45.80621164217965,4.0
Derek Dorsett,15-16,RW,71,755,44.0,45.6,45.3,-2.0,-2.2,776,54.1,2.8,36.8,25.9,1.8,2.4714112489506577,1.7393899822777723,2.9549482324410037,52.11454155395951,2.0
Drew Doughty,15-16,D,82,1681,105.0,58.1,57.8,3.5,3.4,1369,44.1,1.7,63.1,77.6,2.6,1.6479737670666414,2.026668214332352,2.7422701353723826,35.75397919356945,5.0
Nic Dowd,15-16,C,5,635,0.0,69.3,58.3,9.2,-3.0,27,27.8,1.2,1.5,2.1,2.5,1.7007874015748032,2.3811023622047247,0.0,30.614173228346463,4.0
Steve Downie,15-16,RW,26,540,7.0,48.1,45.8,-0.7,-1.7,195,60.7,2.1,8.8,6.5,2.4,2.2564102564102564,1.6666666666666667,1.7948717948717947,50.0,2.0
Leon Draisaitl,15-16,C,72,1083,18.0,52.4,52.7,4.5,5.7,1027,45.0,2.8,46.5,53.0,2.9,2.146814404432133,2.4469067405355496,0.8310249307479224,47.4145891043398,2.0
Jonathan Drouin,15-16,LW,21,867,2.0,50.7,48.1,0.8,-2.8,221,41.3,2.5,9.2,6.7,3.0,1.8190805734058324,1.3247652001977264,0.3954522985664854,43.69747899159664,3.0
Brandon Dubinsky,15-16,C,75,1126,40.0,50.3,50.2,2.4,1.9,1086,55.7,3.4,48.0,55.2,2.7,2.0461811722912966,2.3531083481349913,1.7051509769094138,46.294849023090585,2.0
Matt Duchene,15-16,C,76,1115,37.0,46.4,46.9,3.3,2.5,1267,41.7,3.0,58.1,49.2,2.8,2.468255841397215,2.0901581307528914,1.5718668869483126,53.8258201557706,1.0
Anthony Duclair,15-16,LW,81,862,27.0,49.9,49.1,3.9,3.9,880,38.7,2.2,35.7,36.4,3.0,1.8406805877803556,1.876772364011343,1.3921113689095126,45.372518690384126,3.0
Mathew Dumba,15-16,D,81,1010,56.0,48.5,48.7,1.0,0.3,1093,42.2,2.5,46.4,42.9,2.7,2.041804180418042,1.8877887788778878,2.4642464246424645,48.0968096809681,2.0
Brian Dumoulin,15-16,D,79,1133,68.0,53.2,53.0,0.9,0.6,1122,53.7,2.0,47.9,66.9,2.5,1.9265532304735944,2.690739271788799,2.734981621549153,45.127196755561016,3.0
Pascal Dupuis,15-16,RW,18,906,12.0,42.1,41.9,-6.3,-5.9,261,57.3,3.2,12.2,8.1,2.9,2.693156732891832,1.7880794701986755,2.6490066225165565,57.615894039735096,1.0
Ryan Dzingel,15-16,LW,30,648,4.0,45.1,43.2,-3.6,-5.6,308,47.2,2.3,13.8,11.6,3.0,2.555555555555556,2.148148148148148,0.7407407407407407,57.037037037037045,1.0
David Dziurzynski,15-16,LW,14,605,7.0,32.3,32.2,-17.2,-14.8,159,74.1,3.5,6.9,3.8,1.7,2.9327036599763874,1.615112160566706,2.975206611570248,67.57969303423849,1.0
Cody Eakin,15-16,C,82,982,47.0,48.3,47.7,-5.3,-6.3,1110,52.6,2.5,48.0,46.5,2.6,2.145944066365307,2.0788833142913914,2.10123689831603,49.62495653469773,2.0
Patrick Eaves,15-16,RW,54,778,20.0,52.2,53.0,-0.4,0.7,533,49.6,2.3,21.2,22.5,2.2,1.8166238217652098,1.9280205655526992,1.713796058269066,45.672664952870605,3.0
