Player,season,Pos,GP,FOW,FOL,FaceoffRating
Daniel Brière,14-15,C,57,13.0,11.0,0
T.J. Brodie,14-15,D,81,0.0,0.0,0
Jonas Brodin,14-15,D,71,0.0,0.0,0
Kyle Brodziak,14-15,C,73,338.0,340.0,13
Julien Brouillette,14-15,D,1,0.0,0.0,0
Troy Brouwer,14-15,RW,82,251.0,190.0,16
Chris Brown,14-15,C,5,1.0,2.0,0
Dustin Brown,14-15,RW,82,13.0,21.0,0
J.T. Brown,14-15,RW,52,6.0,7.0,0
Mike Brown,14-15,RW,12,4.0,3.0,0
Patrick Brown,14-15,C,7,0.0,2.0,0
Damien Brunner,14-15,C,17,2.0,2.0,0
André Burakovsky,14-15,LW,53,74.0,93.0,5
Adam Burish,14-15,RW,20,57.0,50.0,13
Brent Burns,14-15,D,82,0.0,0.0,0
Alexandre Burrows,14-15,RW,70,6.0,8.0,0
Chris Butler,14-15,D,33,0.0,0.0,0
Dustin Byfuglien,14-15,D,69,0.0,3.0,0
Paul Byron,14-15,C,57,34.0,62.0,5
Mikkel Bødker,14-15,LW,45,0.0,2.0,0
Ryan Callahan,14-15,RW,77,12.0,19.0,0
Matt Calvert,14-15,LW,56,6.0,4.0,0
Mike Cammalleri,14-15,LW,68,114.0,157.0,5
Andrew Campbell,14-15,D,33,0.0,0.0,0
Brian Campbell,14-15,D,82,0.0,0.0,0
Gregory Campbell,14-15,C,70,339.0,287.0,19
Daniel Carcillo,14-15,LW,39,0.0,1.0,0
Paul Carey,14-15,C,10,0.0,3.0,0
Matt Carle,14-15,D,59,0.0,0.0,0
John Carlson,14-15,D,82,0.0,0.0,0
Jordan Caron,14-15,RW,30,0.0,1.0,0
Sam Carrick,14-15,C,16,38.0,53.0,5
Jeff Carter,14-15,C,82,602.0,577.0,16
Ryan Carter,14-15,C,53,29.0,40.0,5
Cody Ceci,14-15,D,81,0.0,0.0,0
Michael Chaput,14-15,C,33,143.0,151.0,11
Zdeno Chára,14-15,D,63,1.0,0.0,-1
Ben Chiarot,14-15,D,40,0.0,0.0,0
Alex Chiasson,14-15,RW,76,3.0,18.0,0
Jason Chimera,14-15,LW,77,43.0,33.0,5
Kyle Chipchura,14-15,C,70,473.0,439.0,18
Taylor Chorney,14-15,D,7,0.0,0.0,0
Casey Cizikas,14-15,C,70,446.0,409.0,18
Mat Clark,14-15,D,7,0.0,0.0,0
David Clarkson,14-15,RW,61,25.0,48.0,5
Daniel Cleary,14-15,RW,17,2.0,2.0,0
Adam Clendening,14-15,D,21,0.0,0.0,0
Marc-André Cliche,14-15,C,74,377.0,358.0,16
Kyle Clifford,14-15,LW,80,2.0,4.0,0
Grant Clitsome,14-15,D,24,0.0,0.0,0
Ryane Clowe,14-15,LW,13,0.0,1.0,0
Rich Clune,14-15,LW,1,0.0,0.0,0
Cal Clutterbuck,14-15,RW,76,6.0,3.0,0
Braydon Coburn,14-15,D,43,0.0,0.0,0
Andrew Cogliano,14-15,C,82,16.0,33.0,0
Carlo Colaiacovo,14-15,D,33,0.0,0.0,0
Joe Colborne,14-15,C,64,176.0,152.0,12
Erik Cole,14-15,LW,68,5.0,11.0,0
Ian Cole,14-15,D,74,0.0,0.0,0
Sean Collins,14-15,C,8,2.0,3.0,0
Blake Comeau,14-15,LW,61,7.0,2.0,0
Cory Conacher,14-15,C,15,1.0,2.0,0
Erik Condra,14-15,RW,68,2.0,7.0,0
Kevin Connauton,14-15,D,62,0.0,0.0,0
Chris Conner,14-15,RW,2,0.0,0.0,0
Brett Connolly,14-15,RW,55,18.0,25.0,0
Matt Cooke,14-15,LW,29,3.0,6.0,0
Andrew Copp,14-15,C,1,12.0,6.0,29
Patrice Cormier,14-15,C,1,3.0,2.0,16
Frank Corrado,14-15,D,10,0.0,0.0,0
Nick Cousins,14-15,C,11,23.0,29.0,5
Logan Couture,14-15,C,82,451.0,511.0,9
Sean Couturier,14-15,C,82,643.0,678.0,12
Jared Cowen,14-15,D,54,0.0,0.0,0
Charlie Coyle,14-15,C,82,334.0,375.0,8
Adam Cracknell,14-15,RW,17,20.0,38.0,5
Ryan Craig,14-15,C,2,0.0,0.0,0
B.J. Crombeen,14-15,RW,58,1.0,0.0,-1
Sidney Crosby,14-15,C,77,797.0,789.0,15
Matt Cullen,14-15,C,62,155.0,132.0,11
Kyle Cumiskey,14-15,D,7,0.0,0.0,0
Craig Cunningham,14-15,RW,51,69.0,66.0,5
Jerry D'Amigo,14-15,RW,9,0.0,0.0,0
Klas Dahlbeck,14-15,D,23,0.0,0.0,0
Trevor Daley,14-15,D,68,0.0,0.0,0
Zac Dalpe,14-15,C,21,20.0,13.0,3
Phillip Danault,14-15,C,2,6.0,14.0,0
Marko Daňo,14-15,C,35,16.0,21.0,0
Pavel Datsyuk,14-15,C,63,601.0,517.0,21
Brandon Davidson,14-15,D,12,0.0,0.0,0
Calvin de Haan,14-15,D,65,0.0,0.0,0
Jacob de La Rose,14-15,LW,33,64.0,96.0,5
Brandon DeFazio,14-15,LW,2,0.0,0.0,0
