Player,season,Pos,GP,FOW,FOL,FaceoffRating
Rob Klinkhammer,15-16,LW,14,1.0,0.0,0
Corban Knight,15-16,C,20,54.0,52.0,10
Slater Koekkoek,15-16,D,9,0.0,0.0,0
Mikko Koivu,15-16,C,82,988.0,771.0,24
Leo Komarov,15-16,C,67,62.0,65.0,5
Anže Kopitar,15-16,C,81,950.0,826.0,21
Lauri Korpikoski,15-16,LW,71,18.0,16.0,0
Scott Kosmachuk,15-16,RW,8,0.0,0.0,0
Mike Kostka,15-16,D,15,0.0,0.0,0
Chris Kreider,15-16,LW,79,5.0,1.0,0
David Krejčí,15-16,C,72,560.0,557.0,15
Niklas Kronwall,15-16,D,64,0.0,0.0,0
Torey Krug,15-16,D,81,2.0,0.0,-1
Marcus Krüger,15-16,C,41,233.0,241.0,12
Nikita Kucherov,15-16,RW,77,0.0,1.0,0
Tom Kühnhackl,15-16,RW,42,0.0,3.0,0
Dean Kukan,15-16,D,8,0.0,0.0,0
Brett Kulak,15-16,D,8,0.0,0.0,0
Nikolai Kulemin,15-16,LW,81,23.0,36.0,5
Dmitry Kulikov,15-16,D,74,0.0,0.0,0
Chris Kunitz,15-16,LW,80,5.0,6.0,0
Evgeny Kuznetsov,15-16,C,82,543.0,594.0,10
Oliver Kylington,15-16,D,1,0.0,0.0,0
Andrew Ladd,15-16,LW,78,8.0,5.0,0
Brooks Laich,15-16,C,81,98.0,145.0,5
Anton Lander,15-16,C,61,378.0,315.0,21
Gabriel Landeskog,15-16,LW,75,31.0,25.0,5
Dylan Larkin,15-16,C,80,41.0,59.0,5
Adam Larsson,15-16,D,82,0.0,0.0,0
Johan Larsson,15-16,LW,74,388.0,371.0,15
Michael Latta,15-16,C,43,102.0,96.0,9
Scott Laughton,15-16,C,71,170.0,218.0,5
Curtis Lazar,15-16,RW,76,168.0,216.0,5
Vincent Lecavalier,15-16,C,49,297.0,288.0,15
Nick Leddy,15-16,D,81,0.0,0.0,0
Anders Lee,15-16,LW,80,1.0,5.0,0
David Legwand,15-16,C,79,196.0,231.0,5
Jori Lehterä,15-16,C,79,485.0,484.0,14
Taylor Leier,15-16,LW,6,0.0,0.0,0
Brendan Leipsic,15-16,LW,6,2.0,1.0,0
Josh Leivo,15-16,LW,12,1.0,1.0,0
Bryan Lerg,15-16,C,6,17.0,16.0,11
Brett Lernout,15-16,D,1,0.0,0.0,0
Lucas Lessio,15-16,LW,12,0.0,2.0,0
Kris Letang,15-16,D,71,0.0,0.0,0
Mark Letestu,15-16,C,82,596.0,566.0,17
Trevor Lewis,15-16,C,75,103.0,154.0,5
John-Michael Liles,15-16,D,81,0.0,0.0,0
Oscar Lindberg,15-16,C,68,134.0,143.0,5
Tobias Lindberg,15-16,RW,6,0.0,3.0,0
Petteri Lindbohm,15-16,D,10,0.0,0.0,0
Esa Lindell,15-16,D,4,0.0,0.0,0
Elias Lindholm,15-16,C,82,213.0,221.0,8
Hampus Lindholm,15-16,D,80,0.0,0.0,0
J.C. Lipon,15-16,RW,9,0.0,0.0,0
Bryan Little,15-16,C,57,674.0,640.0,17
Viktor Lööv,15-16,D,4,0.0,0.0,0
Ben Lovejoy,15-16,D,66,0.0,0.0,0
Adam Lowry,15-16,C,74,391.0,454.0,8
Milan Lucic,15-16,LW,81,7.0,13.0,0
Joffrey Lupul,15-16,LW,46,0.0,4.0,0
Olli Määttä,15-16,D,67,0.0,0.0,0
Clarke MacArthur,15-16,LW,4,0.0,1.0,0
Andrew MacDonald,15-16,D,28,0.0,0.0,0
Derek MacKenzie,15-16,C,64,439.0,362.0,22
Nathan MacKinnon,15-16,C,72,507.0,540.0,11
Evgeni Malkin,15-16,C,57,317.0,438.0,5
Brad Malone,15-16,C,57,40.0,22.0,5
Brandon Manning,15-16,D,56,0.0,1.0,0
Josh Manson,15-16,D,71,0.0,0.0,0
Anthony Mantha,15-16,RW,10,0.0,0.0,0
Brad Marchand,15-16,LW,77,21.0,35.0,5
Alexey Marchenko,15-16,D,66,0.0,0.0,0
Jonathan Marchessault,15-16,C,45,38.0,41.0,5
Martin Marinčin,15-16,D,65,0.0,0.0,0
Andrei Markov,15-16,D,82,0.0,0.0,0
Patrick Marleau,15-16,LW,82,267.0,258.0,12
Pat Maroon,15-16,LW,72,17.0,36.0,5
Matt Martin,15-16,LW,80,1.0,3.0,0
Paul Martin,15-16,D,78,0.0,0.0,0
Alec Martinez,15-16,D,78,0.0,0.0,0
Jordan Martinook,15-16,LW,81,18.0,15.0,0
Andreas Martinsen,15-16,LW,55,1.0,3.0,0
Brandon Mashinter,15-16,LW,41,0.0,0.0,0
Mike Matheson,15-16,D,3,0.0,0.0,0
Stefan Matteau,15-16,LW,32,0.0,0.0,0
Shawn Matthias,15-16,C,71,9.0,15.0,0
Scott Mayfield,15-16,D,6,0.0,0.0,0
Jamie McBain,15-16,D,44,0.0,0.0,0
Jake McCabe,15-16,D,77,0.0,2.0,0
Jared McCann,15-16,C,69,181.0,341.0,5
Michael McCarron,15-16,RW,20,85.0,84.0,13
John McCarthy,15-16,LW,1,0.0,1.0,0
Jay McClement,15-16,C,77,375.0,303.0,20
Max McCormick,15-16,LW,20,39.0,37.0,7
Connor McDavid,15-16,C,45,249.0,355.0,5
Ryan McDonagh,15-16,D,73,1.0,0.0,-1
Colin McDonald,15-16,RW,5,0.0,0.0,0
John McFarland,15-16,LW,3,0.0,0.0,0
Brock McGinn,15-16,LW,21,0.0,1.0,0
Jamie McGinn,15-16,LW,84,4.0,3.0,0
Tye McGinn,15-16,LW,2,0.0,0.0,0
Dylan McIlrath,15-16,D,34,0.0,0.0,0
Greg McKegg,15-16,C,15,50.0,61.0,5
Curtis McKenzie,15-16,LW,3,0.0,0.0,0
Cody McLeod,15-16,LW,82,1.0,0.0,-1
Brayden McNabb,15-16,D,81,0.0,0.0,0
Mark McNeill,15-16,RW,1,0.0,1.0,0
Adam McQuaid,15-16,D,64,0.0,0.0,0
Evgeny Medvedev,15-16,D,45,0.0,0.0,0
Jayson Megna,15-16,C,6,1.0,0.0,0
Julian Melchiori,15-16,D,11,0.0,0.0,0
Jonathon Merrill,15-16,D,47,0.0,0.0,0
Michael Mersch,15-16,LW,17,1.0,3.0,0
Marc Methot,15-16,D,69,0.0,0.0,0
Milan Michálek,15-16,LW,45,3.0,5.0,0
Zbyněk Michálek,15-16,D,70,0.0,0.0,0
Sonny Milano,15-16,LW,3,0.0,0.0,0
Andrew Miller,15-16,C,6,13.0,16.0,3
Colin Miller,15-16,D,42,0.0,0.0,0
Drew Miller,15-16,LW,28,1.0,1.0,0
J.T. Miller,15-16,C,82,68.0,89.0,5
Kevan Miller,15-16,D,71,0.0,0.0,0
John Mitchell,15-16,C,71,415.0,434.0,12
Torrey Mitchell,15-16,C,71,370.0,347.0,16
Willie Mitchell,15-16,D,46,0.0,0.0,0
Travis Moen,15-16,LW,23,4.0,1.0,0
Sean Monahan,15-16,C,81,887.0,852.0,16
Dominic Moore,15-16,C,80,476.0,384.0,22
John Moore,15-16,D,73,0.0,0.0,0
Josh Morrissey,15-16,D,1,0.0,0.0,0
Joseph Morrow,15-16,D,33,0.0,0.0,0
Kael Mouillierat,15-16,LW,1,5.0,6.0,6
Matt Moulson,15-16,LW,81,0.0,5.0,0
Vojtěch Mozík,15-16,D,7,0.0,0.0,0
Mirco Müller,15-16,D,11,0.0,0.0,0
Connor Murphy,15-16,D,78,0.0,0.0,0
Ryan Murphy,15-16,D,35,0.0,0.0,0
Ryan Murray,15-16,D,82,0.0,0.0,0
Jake Muzzin,15-16,D,82,0.0,0.0,0
Tyler Myers,15-16,D,73,0.0,1.0,0
Jakub Nakládal,15-16,D,27,0.0,0.0,0
Vladislav Namestnikov,15-16,C,80,175.0,216.0,5
Rick Nash,15-16,LW,60,0.0,1.0,0
Riley Nash,15-16,C,64,193.0,197.0,9
James Neal,15-16,RW,82,8.0,19.0,0
Chris Neil,15-16,RW,80,1.0,1.0,0
Brock Nelson,15-16,LW,81,186.0,202.0,6
Casey Nelson,15-16,D,7,0.0,0.0,0
Patrik Nemeth,15-16,D,38,0.0,0.0,0
Aaron Ness,15-16,D,8,0.0,0.0,0
Nikita Nesterov,15-16,D,57,0.0,0.0,0
Andrej Nestrašil,15-16,C,55,8.0,17.0,0
Valeri Nichushkin,15-16,RW,79,0.0,1.0,0
Nino Niederreiter,15-16,RW,82,11.0,16.0,0
Frans Nielsen,15-16,C,81,586.0,583.0,15
Matthew Nieto,15-16,LW,67,2.0,6.0,0
Nikita Nikitin,15-16,D,11,0.0,0.0,0
Matt Niskanen,15-16,D,82,0.0,0.0,0
Stefan Noesen,15-16,RW,1,0.0,0.0,0
Jordan Nolan,15-16,C,52,0.0,1.0,0
Joakim Nordström,15-16,LW,71,6.0,4.0,0
Tomáš Nosek,15-16,C,6,4.0,4.0,1
Ryan Nugent-Hopkins,15-16,C,55,369.0,454.0,6
Darnell Nurse,15-16,D,69,0.0,0.0,0
William Nylander,15-16,C,22,143.0,148.0,13
Gustav Nyquist,15-16,RW,82,0.0,2.0,0
Eric Nystrom,15-16,LW,46,1.0,1.0,0
Jim O'Brien,15-16,C,4,29.0,20.0,26
Brian O'Neill,15-16,C,22,2.0,4.0,0
Cal O'Reilly,15-16,C,20,59.0,50.0,14
Ryan O'Reilly,15-16,C,71,1024.0,788.0,25
Johnny Oduya,15-16,D,82,0.0,0.0,0
Jordan Oesterle,15-16,D,17,0.0,0.0,0
Kyle Okposo,15-16,RW,79,23.0,40.0,5
Jamie Oleksiak,15-16,D,19,0.0,0.0,0
Gustav Olofsson,15-16,D,2,0.0,0.0,0
Dylan Olsen,15-16,D,8,0.0,0.0,0
Dmitry Orlov,15-16,D,82,0.0,0.0,0
Brooks Orpik,15-16,D,41,0.0,0.0,0
T.J. Oshie,15-16,RW,80,138.0,124.0,7
Steve Ott,15-16,C,21,39.0,31.0,8
Xavier Ouellet,15-16,D,5,0.0,0.0,0
Alex Ovechkin,15-16,LW,79,0.0,0.0,0
Magnus Pääjärvi,15-16,LW,48,0.0,2.0,0
Max Pacioretty,15-16,LW,82,6.0,7.0,0
Jean-Gabriel Pageau,15-16,C,82,614.0,563.0,18
Daniel Paille,15-16,LW,12,0.0,1.0,0
Iiro Pakarinen,15-16,RW,63,5.0,8.0,0
Ondřej Palát,15-16,LW,62,2.0,6.0,0
Michael Paliotta,15-16,D,1,0.0,0.0,0
Kyle Palmieri,15-16,RW,82,10.0,17.0,0
Artemi Panarin,15-16,LW,80,0.0,0.0,0
Richard Pánik,15-16,RW,30,1.0,1.0,0
Cédric Paquette,15-16,C,56,141.0,142.0,8
Colton Parayko,15-16,D,79,0.0,0.0,0
Adam Pardy,15-16,D,23,0.0,0.0,0
P.A. Parenteau,15-16,RW,77,4.0,14.0,0
Zach Parise,15-16,LW,70,0.0,4.0,0
David Pastrňák,15-16,RW,51,0.0,3.0,0
Greg Pateryn,15-16,D,38,0.0,0.0,0
Nick Paul,15-16,LW,24,31.0,29.0,5
Joe Pavelski,15-16,C,82,516.0,422.0,22
Tanner Pearson,15-16,LW,79,8.0,17.0,0
Andrey Pedan,15-16,D,13,0.0,0.0,0
Adam Pelech,15-16,D,9,0.0,0.0,0
Anthony Peluso,15-16,RW,35,0.0,0.0,0
Stuart Percy,15-16,D,3,0.0,0.0,0
Mathieu Perreault,15-16,C,71,94.0,109.0,5
David Perron,15-16,LW,71,2.0,8.0,0
Corey Perry,15-16,RW,82,2.0,8.0,0
Brett Pesce,15-16,D,69,0.0,1.0,0
Nic Petan,15-16,LW,26,12.0,9.0,1
Alexander Petrovic,15-16,D,66,0.0,0.0,0
Jeff Petry,15-16,D,51,1.0,0.0,-1
Dion Phaneuf,15-16,D,71,0.0,0.0,0
Blake Pietila,15-16,LW,7,0.0,0.0,0
Alex Pietrangelo,15-16,D,73,0.0,0.0,0
Brandon Pirri,15-16,C,61,66.0,77.0,5
Tomáš Plekanec,15-16,C,82,804.0,811.0,14
Sergei Plotnikov,15-16,LW,45,1.0,1.0,0
Emile Poirier,15-16,LW,2,0.0,0.0,0
Roman Polák,15-16,D,79,1.0,0.0,-1
Jason Pominville,15-16,RW,75,37.0,45.0,5
Chris Porter,15-16,LW,61,0.0,1.0,0
Kevin Porter,15-16,C,41,44.0,43.0,5
Paul Postma,15-16,D,26,0.0,0.0,0
Corey Potter,15-16,D,1,0.0,0.0,0
Benoît Pouliot,15-16,LW,55,20.0,29.0,0
Derrick Pouliot,15-16,D,22,0.0,0.0,0
Shane Prince,15-16,LW,62,4.0,1.0,0
Nate Prosser,15-16,D,54,0.0,0.0,0
Dalton Prout,15-16,D,64,0.0,1.0,0
Brandon Prust,15-16,LW,35,6.0,5.0,0
Matt Puempel,15-16,LW,26,1.0,1.0,0
Teemu Pulkkinen,15-16,LW,36,0.0,1.0,0
Ryan Pulock,15-16,D,15,0.0,0.0,0
Teddy Purcell,15-16,RW,76,2.0,4.0,0
Mark Pysyk,15-16,D,55,0.0,0.0,0
Kyle Quincey,15-16,D,47,0.0,0.0,0
Alan Quine,15-16,C,2,16.0,10.0,27
Michael Raffl,15-16,LW,82,33.0,49.0,5
Rickard Rakell,15-16,C,72,197.0,254.0,5
John Ramage,15-16,D,1,0.0,0.0,0
Tyler Randell,15-16,RW,27,0.0,0.0,0
Mikko Rantanen,15-16,RW,9,13.0,11.0,6
Victor Rask,15-16,C,80,479.0,456.0,16
Dennis Rasmussen,15-16,C,44,144.0,163.0,7
Ty Rattie,15-16,RW,13,0.0,0.0,0
Kyle Rau,15-16,C,9,0.0,0.0,0
Mason Raymond,15-16,LW,29,3.0,4.0,0
Matt Read,15-16,RW,79,24.0,26.0,0
Ryan Reaves,15-16,RW,64,1.0,1.0,0
Zach Redmond,15-16,D,37,0.0,0.0,0
Brent Regner,15-16,D,7,0.0,0.0,0
Mike Reilly,15-16,D,29,0.0,0.0,0
Griffin Reinhart,15-16,D,29,0.0,0.0,0
Sam Reinhart,15-16,C,79,36.0,72.0,5
Borna Rendulic,15-16,RW,3,0.0,3.0,0
Mike Ribeiro,15-16,C,81,288.0,472.0,5
Brad Richards,15-16,C,68,124.0,126.0,5
Mike Richards,15-16,C,39,235.0,240.0,13
Brad Richardson,15-16,RW,82,523.0,438.0,21
Tobias Rieder,15-16,RW,82,10.0,19.0,0
Morgan Rielly,15-16,D,82,0.0,0.0,0
Zac Rinaldo,15-16,C,52,0.0,1.0,0
Rasmus Ristolainen,15-16,D,82,0.0,0.0,0
Brett Ritchie,15-16,RW,8,0.0,0.0,0
Nick Ritchie,15-16,LW,33,1.0,2.0,0
Buddy Robinson,15-16,RW,3,0.0,1.0,0
Evan Rodrigues,15-16,C,2,0.0,0.0,0
Antoine Roussel,15-16,LW,80,15.0,20.0,0
Michal Rozsíval,15-16,D,51,0.0,0.0,0
Chad Ruhwedel,15-16,D,1,0.0,0.0,0
David Rundblad,15-16,D,9,0.0,0.0,0
Kris Russell,15-16,D,62,0.0,1.0,0
Bryan Rust,15-16,RW,41,1.0,3.0,0
Tuomo Ruutu,15-16,LW,33,2.0,3.0,0
Bobby Ryan,15-16,RW,81,3.0,8.0,0
Derek Ryan,15-16,C,6,35.0,24.0,25
Kerby Rychel,15-16,LW,32,1.0,2.0,0
Brandon Saad,15-16,LW,78,19.0,15.0,0
Miikka Salomäki,15-16,RW,61,2.0,1.0,0
Philip Samuelsson,15-16,D,4,0.0,0.0,0
Steven Santini,15-16,D,1,0.0,0.0,0
Mike Santorelli,15-16,C,70,75.0,83.0,5
David Savard,15-16,D,65,0.0,0.0,0
Luca Sbisa,15-16,D,41,0.0,0.0,0
Marco Scandella,15-16,D,73,0.0,0.0,0
Colton Sceviour,15-16,C,71,9.0,15.0,0
Tim Schaller,15-16,C,17,40.0,73.0,5
Mark Scheifele,15-16,C,71,515.0,651.0,5
Brayden Schenn,15-16,C,80,52.0,64.0,5
Luke Schenn,15-16,D,72,1.0,1.0,0
David Schlemko,15-16,D,67,0.0,0.0,0
Nate Schmidt,15-16,D,72,0.0,0.0,0
Cole Schneider,15-16,LW,2,0.0,0.0,0
Jordan Schroeder,15-16,C,26,1.0,2.0,0
Jeff Schultz,15-16,D,1,0.0,0.0,0
Justin Schultz,15-16,D,63,0.0,2.0,0
Nick Schultz,15-16,D,81,1.0,0.0,-1
Jaden Schwartz,15-16,LW,33,15.0,17.0,0
John Scott,15-16,LW,12,0.0,0.0,0
Rob Scuderi,15-16,D,63,0.0,1.0,0
Brent Seabrook,15-16,D,81,0.0,0.0,0
Daniel Sedin*,15-16,LW,82,5.0,14.0,0
Henrik Sedin*,15-16,C,74,620.0,727.0,8
Tyler Seguin,15-16,C,72,470.0,376.0,23
Dennis Seidenberg,15-16,D,61,0.0,0.0,0
Jiří Sekáč,15-16,LW,39,2.0,2.0,0
Andrej Sekera,15-16,D,81,0.0,0.0,0
Eric Selleck,15-16,RW,1,0.0,0.0,0
Alexander Semin,15-16,LW,15,1.0,0.0,0
Tom Sestito,15-16,LW,4,0.0,0.0,0
Damon Severson,15-16,D,72,0.0,0.0,0
Michael Sgarbossa,15-16,C,1,2.0,2.0,6
Patrick Sharp,15-16,LW,76,16.0,17.0,0
Kevin Shattenkirk,15-16,D,72,0.0,0.0,0
Andrew Shaw,15-16,RW,78,146.0,168.0,5
Logan Shaw,15-16,RW,53,16.0,21.0,0
Riley Sheahan,15-16,C,81,358.0,424.0,7
Conor Sheary,15-16,LW,44,1.0,7.0,0
Hunter Shinkaruk,15-16,C,8,0.0,1.0,0
Devin Shore,15-16,C,3,0.0,1.0,0
Drew Shore,15-16,C,2,4.0,6.0,1
Nick Shore,15-16,C,68,384.0,357.0,17
Patrick Sieloff,15-16,D,1,0.0,0.0,0
Jakob Silfverberg,15-16,RW,82,4.0,16.0,0
Zach Sill,15-16,C,10,33.0,44.0,5
Wayne Simmonds,15-16,RW,81,5.0,2.0,0
Dominik Simon,15-16,C,3,0.0,0.0,0
Mike Sislo,15-16,RW,18,0.0,2.0,0
Colton Sissons,15-16,C,34,141.0,111.0,19
Jack Skille,15-16,RW,74,4.0,15.0,0
Jeff Skinner,15-16,LW,82,20.0,27.0,0
Brady Skjei,15-16,D,7,0.0,0.0,0
Jaccob Slavin,15-16,D,63,0.0,0.0,0
Anton Slepyshev,15-16,RW,11,1.0,0.0,0
Ladislav Šmíd,15-16,D,22,0.0,0.0,0
Ben Smith,15-16,RW,22,100.0,85.0,19
Brendan Smith,15-16,D,63,0.0,0.0,0
Craig Smith,15-16,RW,82,76.0,154.0,5
Reilly Smith,15-16,RW,82,0.0,2.0,0
Zack Smith,15-16,C,81,380.0,349.0,16
Devante Smith-Pelly,15-16,RW,64,2.0,3.0,0
Carl Söderberg,15-16,C,82,338.0,381.0,8
Nikita Soshnikov,15-16,RW,11,0.0,1.0,0
Nick Spaling,15-16,C,58,309.0,292.0,16
Jason Spezza,15-16,C,75,538.0,443.0,22
Ryan Spooner,15-16,C,80,304.0,407.0,5
Daniel Sprong,15-16,RW,18,1.0,1.0,0
Jared Spurgeon,15-16,D,77,0.0,0.0,0
Eric Staal,15-16,C,83,446.0,396.0,18
Jordan Staal,15-16,C,82,806.0,589.0,26
Marc Staal,15-16,D,77,1.0,3.0,0
Drew Stafford,15-16,RW,78,51.0,50.0,5
Matt Stajan,15-16,C,80,373.0,415.0,9
Viktor Stålberg,15-16,LW,75,2.0,4.0,0
Steven Stamkos,15-16,C,77,463.0,464.0,14
Ryan Stanton,15-16,D,1,0.0,0.0,0
Paul Stastny,15-16,C,64,684.0,536.0,24
Alexander Steen,15-16,LW,67,159.0,198.0,5
Lee Stempniak,15-16,RW,82,2.0,11.0,0
Derek Stepan,15-16,C,72,515.0,589.0,9
Chandler Stephenson,15-16,C,9,30.0,25.0,15
Chris Stewart,15-16,RW,56,3.0,6.0,0
Jarret Stoll,15-16,C,80,481.0,362.0,24
Mark Stone,15-16,RW,75,8.0,11.0,0
Michael Stone,15-16,D,75,0.0,2.0,0
Clayton Stoner,15-16,D,50,0.0,0.0,0
Tyson Strachan,15-16,D,2,0.0,0.0,0
Brian Strait,15-16,D,52,0.0,0.0,0
Anton Strålman,15-16,D,73,0.0,0.0,0
Ben Street,15-16,C,7,26.0,21.0,17
Mark Streit,15-16,D,62,0.0,0.0,0
Ryan Strome,15-16,RW,71,39.0,56.0,5
Brad Stuart,15-16,D,6,0.0,0.0,0
Mark Stuart,15-16,D,64,0.0,0.0,0
P.K. Subban,15-16,D,68,0.0,0.0,0
Chris Summers,15-16,D,3,0.0,0.0,0
Oskar Sundqvist,15-16,C,18,64.0,75.0,6
Andrej Šustr,15-16,D,77,0.0,0.0,0
Ryan Suter,15-16,D,82,0.0,0.0,0
Brandon Sutter,15-16,C,20,146.0,132.0,19
Brody Sutter,15-16,C,8,9.0,4.0,4
Viktor Svedberg,15-16,D,27,0.0,0.0,0
Maxime Talbot,15-16,C,38,164.0,181.0,9
Brandon Tanev,15-16,LW,3,0.0,0.0,0
Chris Tanev,15-16,D,69,0.0,0.0,0
Eric Tangradi,15-16,LW,1,0.0,1.0,0
Alex Tanguay,15-16,LW,70,3.0,2.0,0
Matt Taormina,15-16,D,3,0.0,0.0,0
Vladimir Tarasenko,15-16,RW,80,0.0,1.0,0
Tomáš Tatar,15-16,LW,81,6.0,18.0,0
John Tavares,15-16,C,78,741.0,629.0,21
Matt Tennyson,15-16,D,29,0.0,0.0,0
Teuvo Teräväinen,15-16,C,78,125.0,184.0,5
Chris Terry,15-16,LW,68,1.0,8.0,0
Shea Theodore,15-16,D,19,0.0,0.0,0
Christian Thomas,15-16,LW,6,0.0,0.0,0
Nate Thompson,15-16,C,49,235.0,216.0,16
Paul Thompson,15-16,RW,3,0.0,0.0,0
Chris Thorburn,15-16,RW,82,68.0,54.0,5
Joe Thornton,15-16,C,82,399.0,353.0,18
Shawn Thornton,15-16,LW,50,6.0,7.0,0
Chris Tierney,15-16,C,79,368.0,437.0,7
Viktor Tikhonov,15-16,RW,50,45.0,71.0,5
Jarred Tinordi,15-16,D,10,0.0,0.0,0
Jiří Tlustý,15-16,LW,30,0.0,0.0,0
Jonathan Toews,15-16,C,80,921.0,652.0,26
Tyler Toffoli,15-16,C,82,0.0,4.0,0
Sergey Tolchinsky,15-16,LW,2,0.0,1.0,0
Jordin Tootoo,15-16,RW,66,0.0,2.0,0
Vincent Trocheck,15-16,C,76,547.0,559.0,13
Zach Trotman,15-16,D,38,0.0,0.0,0
Jacob Trouba,15-16,D,81,0.0,1.0,0
Nikita Tryamkin,15-16,D,13,0.0,0.0,0
Kyle Turris,15-16,C,57,536.0,508.0,17
Fedor Tyutin,15-16,D,61,0.0,0.0,0
R.J. Umberger,15-16,C,39,2.0,3.0,0
Scottie Upshall,15-16,RW,70,12.0,22.0,0
Rinat Valiev,15-16,D,10,0.0,0.0,0
James van Riemsdyk,15-16,LW,40,1.0,1.0,0
Trevor van Riemsdyk,15-16,D,82,0.0,0.0,0
Chris VandeVelde,15-16,C,79,6.0,15.0,0
Thomas Vanek,15-16,LW,74,12.0,26.0,0
Phil Varone,15-16,C,6,10.0,8.0,7
Sami Vatanen,15-16,D,71,0.0,0.0,0
Frank Vatrano,15-16,C,39,0.0,3.0,0
Antoine Vermette,15-16,C,76,754.0,597.0,24
Joel Vermin,15-16,RW,6,1.0,0.0,0
Kris Versteeg,15-16,RW,77,8.0,8.0,0
Linden Vey,15-16,RW,41,193.0,256.0,5
Jake Virtanen,15-16,RW,55,2.0,3.0,0
Joe Vitale,15-16,C,1,0.0,1.0,0
Marc-Édouard Vlasic,15-16,D,67,0.0,2.0,0
Jakub Voráček,15-16,RW,73,3.0,3.0,0
Radim Vrbata,15-16,RW,63,4.0,10.0,0
Chris Wagner,15-16,RW,43,148.0,126.0,15
Joel Ward,15-16,RW,79,237.0,255.0,8
David Warsofsky,15-16,D,22,0.0,0.0,0
Austin Watson,15-16,LW,57,6.0,7.0,0
Jordan Weal,15-16,C,14,33.0,35.0,6
Mike Weber,15-16,D,45,0.0,0.0,0
Shea Weber,15-16,D,78,0.0,0.0,0
Yannick Weber,15-16,D,45,0.0,0.0,0
Dale Weise,15-16,RW,71,16.0,19.0,0
Jeremy Welsh,15-16,C,2,1.0,2.0,0
Alexander Wennberg,15-16,C,69,400.0,522.0,5
Blake Wheeler,15-16,RW,82,10.0,18.0,0
Ryan White,15-16,C,73,184.0,167.0,10
Chris Wideman,15-16,D,64,0.0,0.0,0
Dennis Wideman,15-16,D,51,0.0,0.0,0
Patrick Wiercioch,15-16,D,52,0.0,0.0,0
Justin Williams,15-16,RW,82,57.0,52.0,5
Colin Wilson,15-16,LW,64,14.0,21.0,0
Garrett Wilson,15-16,LW,29,0.0,1.0,0
Scott Wilson,15-16,LW,24,0.0,0.0,0
Tom Wilson,15-16,RW,82,8.0,6.0,0
Tommy Wingels,15-16,C,68,38.0,55.0,5
Daniel Winnik,15-16,C,76,8.0,12.0,0
James Wisniewski,15-16,D,1,0.0,0.0,0
Luke Witkowski,15-16,D,4,0.0,0.0,0
Miles Wood,15-16,LW,1,0.0,0.0,0
Brendan Woods,15-16,LW,5,0.0,1.0,0
Tyler Wotherspoon,15-16,D,11,0.0,0.0,0
Nail Yakupov,15-16,RW,60,0.0,1.0,0
Keith Yandle,15-16,D,82,0.0,0.0,0
Pavel Zacha,15-16,C,1,3.0,6.0,0
Nikita Zadorov,15-16,D,22,0.0,0.0,0
Travis Zajac,15-16,C,74,715.0,672.0,17
Michael Zalewski,15-16,LW,3,6.0,4.0,10
Henrik Zetterberg,15-16,C,82,539.0,536.0,14
Mika Zibanejad,15-16,C,81,659.0,647.0,15
Marek Židlický,15-16,D,53,0.0,0.0,0
Harry Zolnierczyk,15-16,LW,1,0.0,0.0,0
Dainius Zubrus,15-16,C,50,15.0,12.0,0
Mats Zuccarello,15-16,RW,81,5.0,6.0,0
Jason Zucker,15-16,LW,71,1.0,1.0,0
Spencer Abbott,16-17,LW,1,0.0,0.0,0
Justin Abdelkader,16-17,LW,64,5.0,12.0,0
Pontus Åberg,16-17,LW,15,1.0,0.0,0
Noel Acciari,16-17,C,29,11.0,18.0,0
Kenny Agostino,16-17,LW,7,0.0,0.0,0
Sebastian Aho,16-17,RW,82,17.0,18.0,0
Karl Alzner,16-17,D,82,0.0,0.0,0
Josh Anderson,16-17,RW,78,8.0,21.0,0
Rasmus Andersson,16-17,D,1,0.0,0.0,0
Andy Andreoff,16-17,LW,36,41.0,28.0,5
Sven Andrighetto,16-17,RW,46,7.0,3.0,0
Artem Anisimov,16-17,C,64,416.0,506.0,6
Josh Archibald,16-17,RW,10,0.0,1.0,0
Joel Armia,16-17,RW,57,3.0,4.0,0
Viktor Arvidsson,16-17,LW,80,4.0,12.0,0
Andreas Athanasiou,16-17,C,64,37.0,46.0,5
Cam Atkinson,16-17,RW,82,2.0,1.0,0
Brady Austin,16-17,D,5,0.0,0.0,0
Yohann Auvitu,16-17,D,25,0.0,0.0,0
David Backes,16-17,RW,74,60.0,63.0,5
Mikael Backlund,16-17,C,81,711.0,768.0,11
Nicklas Bäckström,16-17,C,82,685.0,648.0,17
Sven Baertschi,16-17,LW,68,1.0,0.0,-1
Casey Bailey,16-17,RW,7,0.0,1.0,0
Josh Bailey,16-17,RW,82,8.0,7.0,0
Justin Bailey,16-17,RW,32,0.0,1.0,0
Nicholas Baptiste,16-17,RW,14,1.0,2.0,0
Ivan Barbashev,16-17,C,30,83.0,124.0,5
Riley Barber,16-17,RW,3,0.0,0.0,0
Mark Barberio,16-17,D,60,0.0,0.0,0
Aleksander Barkov,16-17,C,61,476.0,547.0,8
Tyson Barrie,16-17,D,74,0.0,0.0,0
Matt Bartkowski,16-17,D,24,0.0,0.0,0
Mathew Barzal,16-17,C,2,6.0,7.0,6
Cody Bass,16-17,C,9,0.0,2.0,0
