Name,Short Name,Team,ShotPct,SOGPlus,Pos,Other Pos,Rook,GP,Goals,Asst,Pts,SOG,FOW,FOL,PPG,SHG,GWG,GTG,PIM,Mins,+/-,Pas C,Pas I,Cor W,Cor L,Ft W,Ft L,Ft D,Hits,Blks,Saves,Gls A,GAA,W,L,T,EN,ShO,Sv Pct,Sh Fat,Gm Fat,Inj Rt,Skate,Pass,Fchk,Phys,Int,Clr,Rock,Kill,Blk,FO,Speed,C,LW,RW,LD,RD
"Zibanejad, Mika",Zibanejad,LAD,25,47,C,,N,82,30,44,74,236,830,842,11,2,5,0,47,1686,-12,0,0,0,0,0,0,0,134,66,0,0,0,0,0,0,0,0,,90,20:30,0,4,5,4,4,3,0,0,1,0,3,4,4,0,0,0,0
"Beauvillier, Anthony",Beauvillier,DEN,23,39,LW,RW,N,81,18,10,28,156,26,31,1,0,4,0,8,1186,1,0,0,0,0,0,0,0,87,35,0,0,0,0,0,0,0,0,,90,14:45,1,4,3,5,2,2,0,0,0,0,0,4,0,2,2,0,0
"Benn, Jordie",Jo. Benn,LON,11,15,LD,RD,N,81,5,17,22,93,0,0,0,0,1,0,39,1474,15,0,0,0,0,0,0,0,124,128,0,0,0,0,0,0,0,0,,120,18:15,1,3,3,0,4,4,4,0,0,1,0,2,0,0,0,4,4
"Bonino, Nick",Bonino,WIN,29,52,C,LW,N,81,17,18,35,118,586,546,3,0,1,0,18,1321,27,0,0,0,0,0,0,0,24,70,0,0,0,0,0,0,0,0,,90,16:15,1,2,3,4,2,1,0,0,1,0,3,3,4,4,0,0,0
"Connolly, Brett",Connolly,SAN,32,57,RW,LW,N,81,22,24,46,139,9,22,1,0,5,0,24,1080,13,0,0,0,0,0,0,0,53,25,0,0,0,0,0,0,0,0,,90,13:15,1,3,3,2,2,2,0,0,0,0,0,3,0,2,2,0,0
"Cousins, Nick",Cousins,QUE,10,17,C,LW RW,N,81,7,20,27,144,243,277,1,0,2,0,35,1097,-8,0,0,0,0,0,0,0,115,51,0,0,0,0,0,0,0,0,0,90,13:30,1,3,3,4,4,3,0,0,0,0,1,3,3,3,3,0,0
"Couture, Logan",Couture,WIN,26,48,C,LW,N,81,27,43,70,204,282,327,6,2,3,0,22,1506,-6,0,0,0,0,0,0,0,65,52,0,0,0,0,0,0,0,0,,90,18:30,1,4,5,5,3,2,0,0,1,0,1,4,5,5,0,0,0
"Crouse, Lawson",Crouse,QUE,17,30,LW,,N,81,11,14,25,131,24,34,0,2,1,0,67,1049,5,0,0,0,0,0,0,0,288,44,0,0,0,0,0,0,0,0,,90,13:00,1,3,2,3,5,4,0,0,0,0,0,3,0,4,0,0,0
"Danault, Phillip",Danault,MTL,18,32,C,,N,81,12,41,53,132,882,706,0,0,1,0,39,1440,17,0,0,0,0,0,0,0,95,60,0,0,0,0,0,0,0,0,,90,17:45,1,3,4,4,3,2,0,0,1,0,5,4,4,0,0,0,0
"Drouin, Jonathan",Drouin,LAD,19,33,LW,C,N,81,18,35,53,190,37,51,3,0,3,0,26,1371,-8,0,0,0,0,0,0,0,55,23,0,0,0,0,0,0,0,0,,90,17:00,1,4,4,2,2,1,0,0,0,0,0,5,1,1,0,0,0
"Ekman-Larsson, Oliver",Ekman-Larsson,VAN,16,30,LD,,N,81,14,30,44,176,0,0,5,1,2,0,52,1915,-16,0,0,0,0,0,0,0,162,52,0,0,0,0,0,0,0,0,,120,23:45,1,4,4,0,4,4,2,0,0,0,0,3,0,0,0,4,0
"Eller, Lars",Eller,POR,16,27,C,,N,81,13,23,36,163,543,566,0,1,1,0,37,1339,-1,0,0,0,0,0,0,0,69,47,0,0,0,0,0,0,0,0,,90,16:30,1,4,3,4,3,3,0,0,1,0,3,3,3,0,0,0,0
"Eriksson, Loui",Eriksson,PHI,21,35,RW,LW,N,81,11,18,29,107,2,4,1,0,2,0,22,1139,-11,0,0,0,0,0,0,0,3,28,0,0,0,0,0,0,0,0,,90,14:00,1,3,4,3,1,1,0,0,0,0,0,3,0,3,3,0,0
"Faksa, Radek",Faksa,CHI,26,42,C,,N,81,15,15,30,114,570,562,1,1,1,0,54,1331,-3,0,0,0,0,0,0,0,103,65,0,0,0,0,0,0,0,0,,90,16:30,1,3,3,4,4,2,0,1,1,0,3,3,4,0,0,0,0
"Forbort, Derek",Forbort,TAM,5,9,LD,,N,81,2,12,14,75,0,1,0,0,1,0,52,1680,-13,0,0,0,0,0,0,0,105,139,0,0,0,0,0,0,0,0,,120,20:45,1,3,1,0,3,3,4,0,0,1,0,2,0,0,0,4,0
"Greenway, Jordan",Greenway,VAN,22,42,LW,RW,Y,81,12,12,24,109,31,50,0,0,0,0,29,1104,-12,0,0,0,0,0,0,0,57,40,0,0,0,0,0,0,0,0,0,90,13:45,1,3,3,3,3,2,0,0,0,0,0,3,0,2,2,0,0
"Hainsey, Ron",Hainsey,DET,12,17,RD,LD,N,81,5,18,23,81,1,0,0,1,0,0,21,1641,30,0,0,0,0,0,0,0,91,144,0,0,0,0,0,0,0,0,,120,20:15,1,2,3,0,3,2,3,0,0,1,0,2,0,0,0,4,4
"Janmark, Mattias",Janmark,MTL,11,22,LW,RW,N,81,6,19,25,105,10,16,0,0,0,0,24,1233,-4,0,0,0,0,0,0,0,28,44,0,0,0,0,0,0,0,0,,90,15:15,1,3,3,3,2,1,0,0,0,0,0,3,0,3,3,0,0
"Kane, Patrick",P. Kane,QUE,26,52,RW,,N,81,44,66,110,341,1,4,9,0,7,0,22,1822,2,0,0,0,0,0,0,0,21,18,0,0,0,0,0,0,0,0,,90,22:30,1,5,5,3,2,1,0,0,0,0,0,4,0,0,2,0,0
"Kempe, Adrian",A. Kempe,LAD,20,43,C,,N,81,12,16,28,118,315,424,0,0,2,0,50,1175,-10,0,0,0,0,0,0,0,86,21,0,0,0,0,0,0,0,0,,90,14:30,1,3,3,4,3,2,0,0,0,0,1,4,3,0,0,0,0
"Kopitar, Anze",Kopitar,CHI,28,50,C,,N,81,22,38,60,156,1002,817,1,2,3,0,30,1807,-20,0,0,0,0,0,0,0,59,66,0,0,0,0,0,0,0,0,,90,22:15,1,4,5,4,3,2,0,0,1,0,5,4,5,0,0,0,0
"Krejci, David",Krejci,POR,29,54,C,,N,81,20,53,73,139,530,565,6,0,4,0,16,1432,7,0,0,0,0,0,0,0,28,24,0,0,0,0,0,0,0,0,,90,17:45,1,4,5,3,1,1,0,0,0,0,2,2,4,0,0,0,0
"Lindblom, Oskar",Lindblom,CHI,21,42,LW,RW,Y,81,17,16,33,162,3,7,2,0,2,0,20,1113,-9,0,0,0,0,0,0,0,68,52,0,0,0,0,0,0,0,0,,90,13:45,1,4,3,3,2,2,0,0,0,0,0,4,0,3,3,0,0
"Lindholm, Elias",E. Lindholm,DET,30,49,RW,C,N,81,27,51,78,182,509,428,9,1,5,0,20,1623,30,0,0,0,0,0,0,0,82,39,0,0,0,0,0,0,0,0,,90,20:00,1,4,5,5,3,2,0,0,1,0,4,4,4,0,4,0,0
"McNabb, Brayden",McNabb,SAN,10,14,LD,RD,N,81,4,12,16,84,0,0,0,0,1,0,52,1578,11,0,0,0,0,0,0,0,200,139,0,0,0,0,0,0,0,0,,120,19:30,1,2,3,0,4,4,5,0,0,1,0,2,0,0,0,3,3
"Ovechkin, Alex",Ovechkin,PHI,30,58,LW,,N,81,51,38,89,338,1,4,18,0,5,0,40,1695,7,0,0,0,0,0,0,0,223,41,0,0,0,0,0,0,0,0,,90,21:00,1,4,3,4,4,4,0,0,0,0,0,4,0,2,0,0,0
"Ryan, Derek",D. Ryan,DET,25,44,C,,N,81,13,25,38,103,440,316,2,0,1,0,24,1118,21,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,,90,13:45,1,3,3,3,1,1,0,0,0,0,4,4,4,0,0,0,0
"Staal, Eric",E. Staal,CHI,20,42,C,,N,81,22,30,52,215,642,615,7,0,6,0,34,1468,-7,0,0,0,0,0,0,0,41,28,0,0,0,0,0,0,0,0,,90,18:15,1,4,4,4,2,1,0,0,0,0,3,3,2,0,0,0,0
"Tierney, Chris",Tierney,WIN,16,23,C,LW,N,81,9,39,48,116,531,512,0,0,1,0,26,1379,-22,0,0,0,0,0,0,0,30,54,0,0,0,0,0,0,0,0,,90,17:00,1,3,4,4,2,1,0,0,0,0,3,4,3,3,0,0,0
"Vatrano, Frank",Vatrano,DET,23,49,LW,RW,N,81,24,15,39,208,15,23,2,0,1,0,38,1188,-10,0,0,0,0,0,0,0,139,74,0,0,0,0,0,0,0,0,,90,14:45,1,3,2,3,4,3,0,0,0,0,0,3,0,3,3,0,0
"Vesey, Jimmy",Vesey,SAN,22,41,LW,RW,N,81,17,18,35,154,8,24,1,0,4,0,21,1301,-6,0,0,0,0,0,0,0,79,34,0,0,0,0,0,0,0,0,,90,16:00,1,4,3,4,3,2,0,0,0,0,0,4,0,3,3,0,0
"Wallmark, Lucas",Wallmark,SAN,15,29,C,,N,81,10,18,28,131,575,554,2,0,4,0,36,1198,-8,0,0,0,0,0,0,0,82,39,0,0,0,0,0,0,0,0,0,90,14:45,1,3,4,3,3,2,0,0,0,0,3,3,3,0,0,0,0
"Zaitsev, Nikita",Zaitsev,DET,8,11,RD,LD,N,81,3,11,14,71,0,0,0,0,0,0,18,1658,2,0,0,0,0,0,0,0,139,151,0,0,0,0,0,0,0,0,,120,20:30,1,3,3,0,3,3,3,0,0,1,0,3,0,0,0,3,3
"Zucker, Jason",Zucker,VAN,20,37,LW,RW,N,81,21,21,42,214,2,11,7,0,5,0,28,1383,-9,0,0,0,0,0,0,0,87,38,0,0,0,0,0,0,0,0,,90,17:00,1,5,4,5,4,2,0,0,0,0,0,4,0,3,3,0,0
"Atkinson, Cam",Atkinson,PHI,28,54,RW,,N,80,41,28,69,295,24,52,8,4,8,0,20,1550,3,0,0,0,0,0,0,0,27,25,0,0,0,0,0,0,0,0,,90,19:30,2,5,4,3,2,1,0,0,1,0,0,5,0,0,3,0,0
"Backstrom, Nicklas",Backstrom,PHI,26,49,C,,N,80,22,52,74,169,700,739,7,0,5,0,30,1596,2,0,0,0,0,0,0,0,54,30,0,0,0,0,0,0,0,0,,90,20:00,2,4,5,3,2,1,0,0,0,0,3,3,3,0,0,0,0
"Barbashev, Ivan",Barbashev,MTL,47,83,C,LW,N,80,14,12,26,60,201,240,0,2,1,0,17,921,-4,0,0,0,0,0,0,0,86,31,0,0,0,0,0,0,0,0,,90,11:30,2,3,3,4,3,2,0,0,0,0,1,4,3,3,0,0,0
"Carlson, John",Carlson,SAN,14,28,RD,LD,N,80,13,57,70,185,0,0,3,0,1,0,34,2005,21,0,0,0,0,0,0,0,54,164,0,0,0,0,0,0,0,0,,120,25:00:00,2,4,4,0,2,2,2,0,0,1,0,3,0,0,0,4,4
"Couturier, Sean",Couturier,WIN,30,41,C,,N,80,33,43,76,223,755,568,8,1,5,0,34,1770,2,0,0,0,0,0,0,0,40,60,0,0,0,0,0,0,0,0,,90,22:15,2,4,4,5,2,2,0,1,1,0,5,3,5,0,0,0,0
"Donskoi, Joonas",Donskoi,LAD,24,39,RW,LW,N,80,14,23,37,115,1,9,1,0,4,0,10,1074,10,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,0,0,,90,13:30,2,4,4,3,2,1,0,0,0,0,0,4,0,3,3,0,0
"Ekholm, Mattias",Ekholm,LSV,11,17,LD,RD,N,80,8,36,44,146,0,0,2,0,3,0,47,1869,27,0,0,0,0,0,0,0,68,107,0,0,0,0,0,0,0,0,,120,23:15,2,4,4,0,3,2,3,0,0,0,0,3,0,0,0,4,4
"Gourde, Yanni",Gourde,CHI,34,59,RW,LW,N,80,22,26,48,130,151,132,5,1,5,0,66,1267,9,0,0,0,0,0,0,0,83,30,0,0,0,0,0,0,0,0,,90,15:45,2,4,4,4,3,2,0,0,1,0,3,4,0,3,3,0,0
"Hanifin, Noah",Hanifin,BOS,9,12,LD,,N,80,5,28,33,116,0,0,1,1,2,0,12,1662,18,0,0,0,0,0,0,0,87,83,0,0,0,0,0,0,0,0,,120,20:45,2,4,4,0,3,2,3,0,0,0,0,4,0,0,0,3,0
"Johansen, Ryan",Johansen,BOS,21,35,C,,N,80,14,50,64,136,782,679,0,1,6,0,42,1564,7,0,0,0,0,0,0,0,95,23,0,0,0,0,0,0,0,0,,90,19:30,2,4,5,3,4,3,0,0,0,0,4,4,3,0,0,0,0
"Johnson, Erik",E. Johnson,DEN,10,13,RD,LD,N,80,7,18,25,144,0,0,0,0,1,0,38,1745,8,0,0,0,0,0,0,0,124,143,0,0,0,0,0,0,0,0,,120,21:45,2,4,3,0,4,3,3,0,0,1,0,3,0,0,0,5,5
"Johnson, Tyler",T. Johnson,PHI,36,62,LW,C RW,N,80,29,18,47,163,230,243,1,1,4,0,28,1276,15,0,0,0,0,0,0,0,50,32,0,0,0,0,0,0,0,0,,90,16:00,2,4,4,3,3,1,0,0,0,0,1,4,3,3,3,0,0
"Myers, Tyler",T. Myers,LON,12,22,RD,,N,80,9,22,31,156,0,0,0,1,3,0,63,1628,11,0,0,0,0,0,0,0,97,99,0,0,0,0,0,0,0,0,,120,20:15,2,3,4,0,3,3,4,0,0,0,0,2,0,0,0,0,3
"Niskanen, Matt",Niskanen,LON,11,19,RD,LD,N,80,8,17,25,143,0,0,1,0,1,0,41,1755,-3,0,0,0,0,0,0,0,167,137,0,0,0,0,0,0,0,0,,120,22:00,2,3,3,0,4,3,3,0,0,1,0,3,0,0,0,3,3
"Nutivaara, Markus",Nutivaara,DEN,10,20,LD,RD,N,80,5,16,21,99,0,0,0,0,1,0,6,1414,3,0,0,0,0,0,0,0,80,61,0,0,0,0,0,0,0,0,,120,17:45,2,3,4,0,3,2,2,0,0,0,0,3,0,0,0,3,3
"Paajarvi, Magnus",Paajarvi,MTL,18,36,RW,LW,N,80,11,8,19,119,7,9,0,1,1,0,6,1078,-14,0,0,0,0,0,0,0,65,67,0,0,0,0,0,0,0,0,,90,13:30,2,4,2,2,2,1,0,0,0,0,0,4,0,3,3,0,0
"Paquette, Cedric",Paquette,SAS,30,45,C,,N,80,13,4,17,87,404,364,0,2,1,0,80,960,7,0,0,0,0,0,0,0,269,61,0,0,0,0,0,0,0,0,0,90,12:00,2,3,3,4,5,4,0,1,1,1,3,3,3,0,0,0,0
"Parayko, Colton",Parayko,NOT,11,20,RD,LD,N,80,10,18,28,176,0,0,4,0,3,0,15,1823,20,0,0,0,0,0,0,0,127,157,0,0,0,0,0,0,0,0,,120,22:45,2,4,3,0,3,4,5,0,0,1,0,3,0,0,0,4,4
"Pateryn, Greg",Pateryn,DEN,2,5,RD,,N,80,1,6,7,100,0,1,0,0,0,0,41,1370,-11,0,0,0,0,0,0,0,144,118,0,0,0,0,0,0,0,0,,120,17:00,2,1,2,0,4,3,4,0,0,1,0,1,0,0,0,0,4
"Reaves, Ryan",Reaves,,19,32,RW,,N,80,9,11,20,95,40,54,3,0,2,0,74,870,1,0,0,0,0,0,0,0,305,24,0,0,0,0,0,0,0,0,0,90,10:45,2,2,2,3,5,5,0,0,0,0,0,2,0,0,2,0,0
"Saad, Brandon",Saad,VAN,24,42,LW,RW,N,80,23,24,47,195,24,38,5,3,3,0,12,1415,-9,0,0,0,0,0,0,0,52,25,0,0,0,0,0,0,0,0,,90,17:45,2,4,4,4,2,2,0,0,0,0,0,4,0,3,3,0,0
"Sorensen, Marcus",Sorensen,BOS,34,50,LW,RW,N,80,17,13,30,100,12,19,0,1,1,0,23,1037,10,0,0,0,0,0,0,0,88,29,0,0,0,0,0,0,0,0,,90,13:00,2,3,3,3,3,3,0,1,0,0,0,4,0,3,3,0,0
"Tanev, Brandon",B. Tanev,NOT,22,42,RW,LW,N,80,14,15,29,127,3,5,0,2,0,0,41,1129,9,0,0,0,0,0,0,0,278,81,0,0,0,0,0,0,0,0,,90,14:00,2,3,3,3,5,4,0,0,0,1,0,4,0,4,4,0,0
"Tatar, Tomas",Tatar,EDM,26,49,LW,,N,80,25,33,58,195,10,29,4,0,4,0,34,1313,21,0,0,0,0,0,0,0,77,30,0,0,0,0,0,0,0,0,,90,16:30,2,4,4,3,3,2,0,0,0,0,0,4,0,3,0,0,0
"Tkachuk, Matthew",M. Tkachuk,LON,33,48,LW,RW,N,80,34,43,77,207,6,7,11,0,2,0,62,1408,14,0,0,0,0,0,0,0,104,13,0,0,0,0,0,0,0,0,,90,17:30,2,4,5,4,4,5,0,1,0,0,0,3,0,3,3,0,0
"Zajac, Travis",Zajac,BOS,32,57,C,,N,80,19,27,46,120,841,605,5,2,3,0,20,1542,-25,0,0,0,0,0,0,0,66,38,0,0,0,0,0,0,0,0,,90,19:15,2,4,4,3,2,1,0,0,1,0,5,3,3,0,0,0,0
"Andersson, Rasmus",R. Andersson,DET,3,7,RD,LD,Y,79,2,17,19,115,0,0,0,0,0,0,23,1267,17,0,0,0,0,0,0,0,52,83,0,0,0,0,0,0,0,0,0,120,16:00,3,4,3,0,3,2,2,0,0,0,0,4,0,0,0,3,3
"Brodie, T.J.",Brodie,TAM,18,25,RD,LD,N,79,9,25,34,102,0,1,1,1,1,0,24,1696,29,0,0,0,0,0,0,0,21,86,0,0,0,0,0,0,0,0,,120,21:30,3,4,4,0,2,1,2,0,0,0,0,4,0,0,0,4,4
"Crosby, Sidney",Crosby,EDM,32,59,C,,N,79,35,65,100,220,1012,814,12,0,3,0,36,1658,18,0,0,0,0,0,0,0,85,43,0,0,0,0,0,0,0,0,,90,21:00,3,5,5,4,3,3,0,0,0,0,5,5,3,0,0,0,0
"Gustafsson, Erik",Gustafsson,NYH,21,48,RD,LD,N,79,17,43,60,160,0,0,4,0,3,0,34,1784,-6,0,0,0,0,0,0,0,100,115,0,0,0,0,0,0,0,0,,120,22:30,3,3,4,0,3,2,2,0,0,0,0,3,0,0,0,2,2
"Jankowski, Mark",Jankowski,POR,28,53,C,,N,79,14,18,32,99,426,394,0,5,1,0,12,1004,6,0,0,0,0,0,0,0,30,56,0,0,0,0,0,0,0,0,,90,12:45,3,3,3,3,2,2,0,0,0,0,3,4,4,0,0,0,0
"Jarnkrok, Calle",Jarnkrok,LAD,19,34,LW,C RW,N,79,10,16,26,106,166,165,1,1,1,0,12,1219,13,0,0,0,0,0,0,0,56,22,0,0,0,0,0,0,0,0,,90,15:30,3,3,4,3,2,1,0,0,0,0,2,4,4,4,4,0,0
"Karlsson, Melker",M. Karlsson,OTT,30,43,RW,LW,N,79,12,4,16,79,14,12,0,0,2,0,26,908,-1,0,0,0,0,0,0,0,67,39,0,0,0,0,0,0,0,0,,90,11:30,3,3,3,3,2,1,0,1,0,0,0,4,0,3,3,0,0
"Kassian, Zack",Kassian,NYH,27,50,RW,,N,79,15,11,26,111,0,6,0,1,3,0,102,1169,-6,0,0,0,0,0,0,0,191,15,0,0,0,0,0,0,0,0,,90,14:45,3,2,2,4,4,5,0,0,0,0,0,2,0,0,3,0,0
"Kotkaniemi, Jesperi",Kotkaniemi,NOT,16,31,C,,Y,79,11,23,34,134,359,426,1,0,2,0,26,1086,1,0,0,0,0,0,0,0,66,41,0,0,0,0,0,0,0,0,0,90,13:45,3,4,4,3,3,1,0,0,0,0,2,5,3,0,0,0,0
"Kreider, Chris",Kreider,SAS,28,43,LW,,N,79,28,24,52,201,27,45,7,0,2,0,57,1375,4,0,0,0,0,0,0,0,159,49,0,0,0,0,0,0,0,0,,90,17:30,3,4,4,4,4,4,0,1,0,0,0,5,0,3,0,0,0
"Kronwall, Niklas",Kronwall,OTT,8,13,LD,,N,79,3,24,27,71,0,0,1,0,0,0,40,1576,-5,0,0,0,0,0,0,0,84,96,0,0,0,0,0,0,0,0,,120,20:00,3,2,3,0,3,4,4,0,0,0,0,3,0,0,0,3,0
"Lucic, Milan",Lucic,,16,25,LW,,N,79,6,14,20,74,25,20,2,0,0,0,91,1046,-9,0,0,0,0,0,0,0,259,22,0,0,0,0,0,0,0,0,,90,13:15,3,1,2,4,5,4,0,1,0,0,0,1,0,1,0,0,0
"Marchand, Brad",Marchand,DEN,31,54,LW,,N,79,36,64,100,231,45,60,10,3,9,0,96,1550,15,0,0,0,0,0,0,0,46,19,0,0,0,0,0,0,0,0,,90,19:30,3,4,5,4,2,3,0,0,0,0,0,4,0,4,0,0,0
"Mayfield, Scott",Mayfield,DEN,8,11,RD,LD,N,79,4,15,19,104,0,1,0,1,0,0,68,1480,18,0,0,0,0,0,0,0,118,159,0,0,0,0,0,0,0,0,,120,18:45,3,2,3,0,4,4,5,0,0,2,0,2,0,0,0,4,4
"Panarin, Artemi",Panarin,LSV,29,56,LW,,N,79,28,59,87,191,1,3,6,0,8,0,23,1569,14,0,0,0,0,0,0,0,14,17,0,0,0,0,0,0,0,0,,90,19:45,3,4,5,2,1,1,0,0,0,0,0,4,0,2,0,0,0
"Point, Brayden",Point,VAN,43,75,C,RW,N,79,41,51,92,191,435,421,20,0,7,0,28,1495,27,0,0,0,0,0,0,0,31,43,0,0,0,0,0,0,0,0,,90,19:00,3,4,5,3,2,2,0,0,0,0,3,3,4,0,4,0,0
"Staal, Marc",M. Staal,POR,7,11,LD,,N,79,3,10,13,84,0,0,0,0,0,0,32,1534,-9,0,0,0,0,0,0,0,94,119,0,0,0,0,0,0,0,0,,120,19:30,3,2,3,0,2,2,3,0,0,1,0,2,0,0,0,4,0
"Theodore, Shea",Theodore,WIN,12,27,LD,RD,N,79,12,25,37,202,1,0,4,0,1,0,20,1588,-4,0,0,0,0,0,0,0,27,91,0,0,0,0,0,0,0,0,,120,20:00,3,4,4,0,2,2,1,0,0,0,0,5,0,0,0,3,3
"Anisimov, Artem",Anisimov,OTT,21,43,C,LW,N,78,15,22,37,142,332,394,1,1,1,0,14,1275,-2,0,0,0,0,0,0,0,25,33,0,0,0,0,0,0,0,0,,90,16:15,4,3,4,2,2,2,0,0,0,0,2,2,3,3,0,0,0
"Barrie, Tyson",Barrie,EDM,13,26,RD,LD,N,78,14,45,59,218,0,0,2,0,2,0,36,1699,-3,0,0,0,0,0,0,0,48,93,0,0,0,0,0,0,0,0,,120,21:45,4,4,5,0,2,1,1,0,0,0,0,4,0,0,0,2,2
"Benn, Jamie",Ja. Benn,NOT,29,38,LW,,N,78,27,26,53,189,205,213,8,0,2,0,56,1422,14,0,0,0,0,0,0,0,142,71,0,0,0,0,0,0,0,0,,90,18:15,4,5,4,5,4,4,0,1,0,0,1,4,0,4,0,0,0
"Bouwmeester, Jay",Bouwmeester,BOS,7,17,LD,RD,N,78,3,14,17,82,0,0,0,0,1,0,40,1617,-3,0,0,0,0,0,0,0,61,127,0,0,0,0,0,0,0,0,,120,20:45,4,3,3,0,2,2,3,0,0,1,0,3,0,0,0,4,4
"Braun, Justin",Braun,TAM,4,7,RD,,N,78,2,14,16,105,0,0,0,0,0,0,35,1584,-14,0,0,0,0,0,0,0,121,120,0,0,0,0,0,0,0,0,,120,20:15,4,4,4,0,3,3,3,0,0,1,0,3,0,0,0,0,4
"Butcher, Will",Butcher,SAS,7,14,LD,,N,78,4,26,30,108,0,0,1,0,1,0,18,1503,-17,0,0,0,0,0,0,0,38,74,0,0,0,0,0,0,0,0,,120,19:15,4,4,4,0,2,1,1,0,0,0,0,4,0,0,0,2,0
"Chiarot, Ben",Chiarot,WIN,9,17,LD,RD,N,78,5,15,20,111,0,0,0,0,1,0,62,1452,6,0,0,0,0,0,0,0,171,139,0,0,0,0,0,0,0,0,,120,18:30,4,2,3,0,4,4,4,0,0,1,0,3,0,0,0,3,3
"Coleman, Blake",Coleman,NOT,21,38,RW,LW,N,78,22,14,36,213,109,153,3,3,3,0,71,1327,-19,0,0,0,0,0,0,0,225,44,0,0,0,0,0,0,0,0,,90,17:00,4,3,3,5,4,5,0,0,1,0,1,4,0,4,4,0,0
"Dunn, Vince",Dunn,TAM,16,29,LD,RD,N,78,12,23,35,150,0,1,3,0,4,0,45,1368,14,0,0,0,0,0,0,0,48,68,0,0,0,0,0,0,0,0,,120,17:30,4,4,4,0,2,2,2,0,0,0,0,5,0,0,0,2,2
"Eakin, Cody",Eakin,OTT,37,73,C,,N,78,22,19,41,120,479,461,1,3,3,0,16,1200,19,0,0,0,0,0,0,0,88,35,0,0,0,0,0,0,0,0,,90,15:30,4,4,3,4,3,2,0,0,0,0,3,4,5,0,0,0,0
"Eberle, Jordan",Eberle,OTT,24,40,RW,,N,78,19,18,37,160,9,11,7,0,5,0,17,1289,-6,0,0,0,0,0,0,0,36,35,0,0,0,0,0,0,0,0,,90,16:30,4,4,4,2,1,2,0,0,0,0,0,4,0,0,2,0,0
"Giordano, Mark",Giordano,QUE,15,33,LD,,N,78,17,57,74,221,0,0,3,4,2,0,69,1891,39,0,0,0,0,0,0,0,58,144,0,0,0,0,0,0,0,0,,120,24:15:00,4,4,5,0,3,2,3,0,0,1,0,3,0,0,0,5,0
"Glendening, Luke",Glendening,LSV,20,28,C,RW,N,78,10,13,23,102,658,524,0,1,1,0,15,1231,2,0,0,0,0,0,0,0,198,102,0,0,0,0,0,0,0,0,,90,15:45,4,3,3,4,4,4,0,1,1,1,5,3,5,0,5,0,0
"Gostisbehere, Shayne",Gostisbehere,DET,10,16,LD,RD,N,78,9,28,37,180,0,0,4,0,2,0,22,1533,-20,0,0,0,0,0,0,0,46,102,0,0,0,0,0,0,0,0,,120,19:45,4,4,4,0,2,1,1,0,0,0,0,4,0,0,0,1,1
"Kapanen, Kasperi",Kapanen,LAD,23,41,RW,LW,N,78,20,24,44,174,5,4,1,2,3,0,27,1296,12,0,0,0,0,0,0,0,92,19,0,0,0,0,0,0,0,0,,90,16:30,4,4,4,3,3,2,0,0,0,0,0,4,0,2,2,0,0
"Kerfoot, Alexander",Kerfoot,LAD,26,38,LW,C,N,78,15,27,42,116,274,215,4,0,1,0,38,1161,-9,0,0,0,0,0,0,0,22,29,0,0,0,0,0,0,0,0,,90,15:00,4,3,4,3,2,1,0,1,0,0,3,4,3,3,0,0,0
"Lowry, Adam",Lowry,DET,23,33,C,,N,78,12,11,23,105,643,473,0,1,3,0,33,1142,6,0,0,0,0,0,0,0,223,49,0,0,0,0,0,0,0,0,,90,14:45,4,3,3,4,5,4,0,1,1,0,4,4,4,0,0,0,0
"McDavid, Connor",McDavid,LSV,34,56,C,,N,78,41,75,116,240,428,490,9,1,9,0,20,1781,3,0,0,0,0,0,0,0,39,30,0,0,0,0,0,0,0,0,,90,22:45,4,6,5,4,2,2,0,0,0,0,2,5,3,0,0,0,0
"Meier, Timo",Meier,QUE,24,44,LW,RW,N,78,30,36,66,250,12,26,6,0,2,0,55,1324,9,0,0,0,0,0,0,0,99,40,0,0,0,0,0,0,0,0,,90,17:00,4,4,4,4,3,3,0,0,0,0,0,4,0,4,4,0,0
"Monahan, Sean",Monahan,DET,32,56,C,,N,78,34,48,82,211,454,434,12,0,5,0,12,1486,7,0,0,0,0,0,0,0,36,24,0,0,0,0,0,0,0,0,,90,19:00,4,4,5,2,2,2,0,0,0,0,3,4,3,0,0,0,0
"Namestnikov, Vladislav",Namestnikov,NOT,18,31,LW,RW,N,78,11,20,31,119,22,32,1,2,3,0,44,1232,-7,0,0,0,0,0,0,0,140,62,0,0,0,0,0,0,0,0,,90,15:45,4,4,4,3,3,2,0,0,0,0,0,4,0,3,3,0,0
"Nash, Riley",Nash,TAM,8,13,C,RW,N,78,3,9,12,79,150,183,0,0,1,0,19,846,-8,0,0,0,0,0,0,0,72,43,0,0,0,0,0,0,0,0,,90,10:45,4,3,3,4,3,3,0,0,0,0,1,3,4,0,4,0,0
"Okposo, Kyle",Okposo,EDM,19,36,RW,,N,78,14,15,29,147,63,71,7,0,2,0,41,1075,-9,0,0,0,0,0,0,0,87,27,0,0,0,0,0,0,0,0,,90,13:45,4,2,3,2,3,2,0,0,0,0,0,3,0,0,2,0,0
