Pos,GoalsCreated,GPerGame,APerGame,PtsPerGame,GoalsCreatedPerGame,SOGPerGameAdjusted,GAdjusted,AAdjusted,PtsAdjusted,GCAdjusted,TotGF,TotPPGF,TotGA,TotPPGA,PlusMin,XGF,XGA,XPlusMin,OPS,DPS,TotPS,ShootoutMiss,UID,season
LW,6,0.18,0.11,0.3,0.13,1.48,8,5,13,6,22,0,11,0,11,20.8,12.5,8.2,0.8,0.8,1.6,1.0,mangian01,18-19
C,18,0.3,0.44,0.75,0.28,2.14,19,28,47,18,64,7,46,6,17,41.8,39.2,2.6,3.8,1.7,5.5,,shawan01,18-19
D,8,0.06,0.24,0.3,0.1,1.27,5,20,25,8,67,2,106,32,-9,53.7,63.2,-9.4,1.0,3.6,4.6,,greenan01,18-19
D,1,0.04,0.12,0.15,0.05,1.23,1,3,4,1,14,1,18,0,-5,12.3,18.8,-6.5,0.0,0.7,0.7,,welinan01,18-19
LW,13,0.22,0.12,0.35,0.15,1.93,18,10,28,13,51,8,42,0,1,47.5,43.0,4.6,1.3,1.5,2.8,1.0,beauvan01,18-19
D,1,0.0,0.08,0.08,0.02,0.83,0,3,3,1,12,0,20,1,-7,13.0,20.7,-7.7,-0.2,0.6,0.3,,bitetan01,18-19
C,16,0.23,0.24,0.48,0.19,1.5,19,20,39,16,66,4,56,19,25,45.7,35.2,10.5,2.4,2.0,4.4,1.0,cirelan01,18-19
LW,14,0.26,0.19,0.45,0.19,1.78,19,14,33,14,49,11,41,0,-2,33.8,41.6,-7.8,2.6,1.0,3.6,,duclaan01,18-19
RW,0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,3,0,-3,0.6,0.6,0.0,0.0,-0.1,-0.1,,grecoan01,18-19
RW,20,0.37,0.34,0.72,0.3,2.96,25,23,48,20,69,20,56,0,-8,45.9,40.7,5.2,4.0,1.0,5.0,,manthan01,18-19
RW,0,0.0,0.0,0.0,0.0,0.25,0,0,0,0,0,0,1,0,-1,0.4,0.5,-0.1,0.0,0.0,-0.1,,pelusan01,18-19
C,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,-1,0.2,0.3,-0.1,0.0,0.0,-0.1,,richaan01,18-19
LW,11,0.14,0.34,0.48,0.17,1.29,9,22,31,11,39,1,45,11,5,31.9,33.9,-2.0,1.6,1.3,2.9,1.0,roussan01,18-19
LW,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0.4,-0.3,0.0,0.0,0.0,,blidhan01,18-19
D,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,-1,1.0,0.6,0.4,0.0,0.0,-0.1,,lindhan01,18-19
D,5,0.04,0.32,0.36,0.11,1.21,2,15,17,5,48,1,49,14,12,34.6,37.4,-2.8,0.7,2.4,3.1,,stralan01,18-19
C,3,0.11,0.19,0.3,0.11,1.56,3,5,8,3,8,0,8,1,1,14.6,11.4,3.2,0.2,0.3,0.6,,suomean01,18-19
C,23,0.27,0.47,0.74,0.28,1.93,22,38,60,22,92,27,113,29,-20,54.9,63.4,-8.5,3.3,1.7,5.0,4.0,kopitan01,18-19
C,14,0.19,0.28,0.47,0.18,1.82,15,22,37,14,55,8,63,14,-2,45.3,56.3,-10.9,1.6,1.0,2.6,,anisiar01,18-19
LW,32,0.35,0.75,1.1,0.4,2.42,28,59,87,31,114,22,80,1,14,69.1,57.4,11.7,7.4,2.3,9.7,1.0,panarar01,18-19
LW,11,0.13,0.24,0.38,0.14,2.15,11,20,31,11,58,2,64,18,10,51.0,42.7,8.3,0.6,1.7,2.3,,lehkoar01,18-19
D,0,0.0,0.06,0.06,0.02,1.24,0,1,1,0,7,0,9,0,-2,6.6,8.2,-1.6,-0.2,0.4,0.2,,sautnas01,18-19
C,6,0.11,0.22,0.33,0.12,1.2,6,12,18,7,26,3,25,1,-1,22.9,19.8,3.1,0.7,0.5,1.2,,czarnau01,18-19
LW,9,0.19,0.15,0.34,0.15,1.08,12,9,21,9,23,0,21,0,2,21.0,22.3,-1.3,1.8,0.8,2.7,,wagneau01,18-19
LW,6,0.19,0.24,0.43,0.17,1.73,7,9,16,6,28,1,26,10,11,15.9,20.4,-4.5,0.9,1.0,1.9,,watsoau01,18-19
C,30,0.54,0.53,1.07,0.44,3.69,37,36,73,30,92,27,74,0,-9,55.8,49.7,6.1,7.6,0.7,8.3,1.0,matthau01,18-19
RW,6,0.09,0.12,0.21,0.08,1.02,7,10,17,7,34,0,46,16,4,25.9,26.5,-0.6,-0.1,1.0,0.9,,goodrba01,18-19
D,7,0.06,0.19,0.26,0.09,1.42,5,15,20,7,50,0,59,16,6,43.5,49.5,-6.1,0.7,3.1,3.8,,chiarbe01,18-19
D,0,0.0,0.25,0.25,0.07,0.5,0,1,1,0,2,0,3,0,-1,2.0,2.5,-0.4,0.0,0.1,0.1,,gleasbe01,18-19
D,2,0.02,0.08,0.1,0.03,0.98,1,4,5,2,27,0,53,13,-13,25.5,38.1,-12.6,-0.5,0.9,0.4,,harpube01,18-19
D,7,0.07,0.22,0.29,0.1,1.65,5,15,20,7,54,11,83,17,-23,46.0,65.2,-19.2,0.7,2.0,2.7,,huttobe01,18-19
D,3,0.03,0.1,0.13,0.04,1.34,2,7,9,3,40,0,61,19,-1,40.2,39.7,0.5,-0.4,3.0,2.7,,lovejbe01,18-19
C,2,0.14,0.1,0.24,0.1,0.9,3,2,5,2,6,0,16,6,-4,4.5,11.9,-7.4,0.1,0.2,0.3,,streebe01,18-19
C,16,0.28,0.18,0.46,0.21,2.73,22,14,36,16,58,8,92,23,-19,44.6,44.3,0.4,2.2,1.1,3.3,2.0,colembl01,18-19
RW,7,0.09,0.14,0.23,0.09,1.32,7,11,18,7,31,0,57,19,-7,42.1,45.0,-2.9,-0.9,1.5,0.6,,comeabl01,18-19
C,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,-1,0.7,0.7,0.0,0.0,0.0,-0.1,,lizotbl01,18-19
LW,0,0.0,0.05,0.05,0.01,1.16,0,1,1,0,4,0,11,0,-7,6.3,8.8,-2.5,-0.6,0.1,-0.5,,pietibl01,18-19
RW,30,0.24,0.87,1.11,0.37,2.82,20,71,91,30,124,45,94,15,0,53.2,59.6,-6.3,6.4,1.8,8.2,1.0,wheelbl01,18-19
C,24,0.33,0.41,0.74,0.3,2.77,27,34,61,24,98,33,76,6,-4,57.4,61.2,-3.8,4.2,2.0,6.2,6.0,horvabo01,18-19
LW,15,0.19,0.35,0.54,0.2,2.05,15,27,42,16,66,24,71,0,-29,41.7,49.3,-7.6,2.2,0.3,2.5,1.0,ryanbo01,18-19
D,2,0.0,0.25,0.25,0.07,0.44,0,8,8,2,14,0,18,1,-3,17.4,13.8,3.7,0.2,0.8,1.0,,kiselbo01,18-19
C,4,0.09,0.14,0.23,0.09,0.79,4,6,10,4,13,0,20,3,-4,13.2,18.1,-4.9,0.3,0.3,0.6,,nievecr01,18-19
C,15,0.21,0.29,0.49,0.19,2.21,16,22,38,15,65,9,64,15,6,47.1,48.2,-1.1,1.9,1.7,3.6,,jennebo01,18-19
D,5,0.12,0.17,0.29,0.11,1.79,5,7,12,5,28,12,18,0,-2,24.0,18.3,5.8,1.0,1.5,2.4,,huntbr01,18-19
C/LW,0,0.0,0.0,0.0,0.0,0.81,0,0,0,0,1,0,4,3,0,2.6,3.9,-1.3,-0.4,0.2,-0.2,,malonbr01,18-19
LW,37,0.46,0.81,1.27,0.46,2.92,36,64,100,37,134,52,79,12,15,53.5,48.4,5.0,9.2,2.5,11.7,4.0,marchbr03,18-19
C,13,0.29,0.12,0.41,0.2,1.94,19,8,27,13,43,0,46,9,6,33.5,30.8,2.7,1.8,1.8,3.7,,richabr02,18-19
D,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,1,0.5,0.1,0.5,0.0,0.1,0.1,,keepebr01,18-19
D,9,0.1,0.22,0.32,0.11,1.62,8,17,25,9,69,1,90,18,-4,58.4,67.7,-9.4,1.3,3.2,4.5,,skjeibr01,18-19
LW,18,0.31,0.32,0.63,0.25,3.01,22,23,45,18,67,17,60,0,-10,45.7,40.2,5.5,3.5,0.9,4.4,,tkachbr01,18-19
D,3,0.03,0.11,0.14,0.04,1.61,2,8,10,3,56,1,59,26,22,50.9,44.0,6.9,-0.6,5.0,4.3,,carlobr01,18-19
D,0,0.0,0.1,0.1,0.03,0.7,0,1,1,0,3,0,8,1,-4,4.9,6.3,-1.4,-0.1,-0.1,-0.2,,davidbr01,18-19
