CorsiFor,CorsiAgainst,CorsiForPerc,CorsiForPercRel,FenwickF,FenwickA,FenwickPerc,FenwickPercRel,TeamOnIceShootPerc,TeamOnIceSavePerc,ShootPercPlusSavePerc,OZoneStartPerc,DZoneStartPerc,ATOIEV,TakeAways,GiveAways,EPlusMin,ShotAttempts,ShotThruPerc,UID,season
329,358,47.9,1.0,242,256,48.6,-0.2,6.8,93.6,100.4,51.3,48.7,11:49,6,9,1.5,100.0,57.0,stenlke01,19-20
934,954,49.5,1.7,700,734,48.8,0.8,6.9,92.4,99.3,46.8,53.2,13:44,38,28,-3.1,258.0,61.2,stepade01,19-20
334,292,53.4,1.2,256,233,52.4,1.0,7.3,87.9,95.2,43.5,56.5,9:26,6,4,1.6,82.0,52.4,stephmi01,19-20
806,676,54.4,0.1,629,501,55.7,1.5,10.3,93.6,103.9,51.8,48.2,12:21,37,22,10.6,,,stephch02,19-20
67,128,34.4,-18.2,51,97,34.5,-16.9,10.8,86.1,96.9,50.0,50.0,7:36,3,1,-4.5,12.0,41.7,stewach02,19-20
485,539,47.4,-3.9,362,399,47.6,-3.4,8.6,90.9,99.5,47.1,52.9,16:39,13,28,-5.4,83.0,47.0,stillri01,19-20
1139,839,57.6,5.3,888,628,58.6,6.5,9.6,89.9,99.5,54.2,45.8,14:57,78,38,24.5,276.0,61.2,stonema01,19-20
444,533,45.4,-7.7,331,401,45.2,-7.2,7.7,91.5,99.3,53.1,46.9,14:49,6,9,-5.1,110.0,51.8,stonemi01,19-20
1137,1264,47.4,-3.7,869,943,48.0,-3.2,9.7,89.3,99.0,48.1,51.9,18:09,40,48,-6.6,168.0,53.0,stralan01,19-20
12,23,34.3,-14.1,8,17,32.0,-17.4,16.7,100.0,116.7,40.0,60.0,5:30,0,0,-0.8,6.0,66.7,streebe01,19-20
749,769,49.3,1.8,540,567,48.8,1.8,10.0,92.0,102.0,56.6,43.4,13:13,30,26,-5.4,147.0,66.0,stromdy01,19-20
994,1041,48.8,3.2,787,785,50.1,3.9,12.2,91.8,104.0,53.0,47.0,14:22,27,54,10.1,241.0,63.9,stromry01,19-20
19,19,50.0,6.3,16,17,48.5,8.5,18.2,100.0,118.2,50.0,50.0,11:06,0,3,0.5,4.0,75.0,studnja01,19-20
56,51,52.3,2.7,38,32,54.3,4.2,10.7,96.0,106.7,43.1,56.9,11:22,1,1,-0.1,4.0,50.0,sturmni01,19-20
1118,1249,47.2,1.9,876,946,48.1,2.1,6.5,91.1,97.6,48.2,51.8,17:53,19,65,-7.5,292.0,51.7,subbapk01,19-20
2,13,13.3,-18.6,1,12,7.7,-19.8,,87.5,,25.0,75.0,6:26,0,0,-0.5,1.0,0.0,frankcl01,19-20
598,662,47.5,-5.6,454,494,47.9,-4.5,9.5,92.1,101.6,38.6,61.4,12:27,36,11,-2.2,167.0,58.1,sundqos01,19-20
165,185,47.1,-2.9,115,132,46.6,-3.2,11.9,93.6,105.5,46.7,53.3,9:16,6,4,1.4,29.0,62.1,suomean01,19-20
1295,1287,50.2,1.1,949,994,48.8,-1.5,10.4,89.9,100.3,49.5,50.5,19:08,19,27,2.5,253.0,43.9,suterry01,19-20
430,535,44.6,-6.5,335,392,46.1,-5.4,8.2,93.3,101.5,31.9,68.1,11:36,15,9,-4.2,112.0,67.9,suttebr03,19-20
943,822,53.4,-1.6,689,617,52.8,-1.9,7.1,90.4,97.5,53.7,46.3,13:23,31,37,0.3,222.0,62.2,suzukni01,19-20
1034,800,56.4,3.1,791,630,55.7,3.1,10.8,89.1,100.0,54.1,45.9,13:44,29,66,11.1,320.0,57.2,svechan01,19-20
34,28,54.8,-1.6,28,24,53.8,-1.5,0.0,94.7,94.7,42.9,57.1,7:36,0,3,0.7,10.0,70.0,svechev01,19-20
7,15,31.8,-14.8,5,5,50.0,2.3,0.0,100.0,100.0,50.0,50.0,4:55,0,0,-0.1,2.0,100.0,szwarjo01,19-20
690,703,49.5,-1.8,505,529,48.8,-3.3,7.2,91.9,99.1,38.2,61.8,12:26,33,37,-4.9,162.0,59.3,tanevbr01,19-20
959,1119,46.2,-3.3,727,809,47.3,-2.6,11.6,90.5,102.2,45.7,54.3,15:51,20,45,-10.4,98.0,45.9,tanevch01,19-20
122,110,52.6,4.4,94,82,53.4,5.1,11.4,86.2,97.6,58.7,41.3,13:43,3,5,0.5,47.0,55.3,tarasvl01,19-20
1224,791,60.7,8.6,917,609,60.1,8.2,9.2,88.4,97.7,52.4,47.6,13:58,31,29,17.5,264.0,61.4,tatarto01,19-20
